acc_x[mg],acc_y[mg],acc_z[mg]
-79.3,983.32,-0.732
-83.448,982.588,-13.42
-87.108,992.104,-24.644
-82.96,985.272,-20.74
-78.568,985.76,-8.784
-74.42,983.808,-12.932
-77.592,984.54,-9.272
-81.74,986.736,-11.468
-73.932,989.42,-22.692
-70.516,996.252,-20.74
-65.636,986.736,-12.932
-73.932,988.932,-3.66
-82.228,983.32,-4.636
-84.18,987.224,-10.248
-85.888,990.396,-18.788
-78.568,990.152,-23.912
-73.444,987.224,-23.424
-82.228,980.148,-9.028
-84.912,984.296,-3.904
-69.296,987.712,-25.132
-81.984,984.296,-9.272
-80.52,978.196,-3.172
-79.056,977.22,-3.416
-88.084,977.464,-7.32
-81.496,989.664,-21.228
-72.956,997.96,-24.644
-65.148,990.884,-19.764
-79.788,987.712,6.344
-76.86,983.808,0.488
-79.544,986.004,-7.564
-78.812,993.812,-22.692
-71.736,998.692,-31.232
-85.156,982.832,-14.396
-88.572,978.928,7.32
-71.492,983.32,-7.076
-67.832,992.104,-20.008
-79.544,989.176,-19.52
-81.496,980.88,-10.736
-82.96,978.928,-6.344
-86.864,976.732,-2.44
-74.176,986.248,-14.396
-73.932,988.444,-18.3
-85.888,984.54,-2.684
-75.884,984.54,-10.98
-89.548,986.736,-10.736
-75.152,990.396,-26.352
-72.224,991.616,-19.032
-81.496,981.612,-4.392
-83.204,986.736,-3.66
-82.228,987.224,-15.372
-80.764,991.616,-25.864
-80.276,983.32,-14.396
-73.932,981.124,-4.88
-65.88,980.88,-5.368
-79.3,986.492,-1.952
-67.344,988.2,-21.96
-76.372,991.86,-21.716
-83.692,982.1,-17.08
-83.936,984.54,-6.832
-81.984,983.32,-9.028
-74.908,991.616,-18.3
-75.396,991.86,-28.304
-76.372,991.86,-18.788
-75.396,986.004,-20.008
-81.496,991.372,-17.812
-86.132,988.2,-12.2
-73.444,988.688,-12.444
-64.904,994.3,-23.912
-74.176,987.956,-10.98
-80.52,982.344,-7.076
-86.132,977.464,-6.344
-83.936,980.148,-15.616
-87.84,976.976,-13.908
-76.616,984.54,-19.276
-69.296,983.32,-14.884
-77.592,988.2,4.636
-68.32,988.688,-12.932
-79.056,989.908,-9.516
-82.472,988.688,-8.54
-65.88,1003.572,-18.3
-53.436,1001.62,-22.936
-56.852,1004.304,-9.76
-59.292,994.056,-14.884
-73.932,984.54,-10.248
-78.568,974.536,-16.592
-85.644,968.436,-20.984
-99.308,967.216,-25.864
-114.192,971.12,-27.816
-121.756,973.56,-10.736
-107.604,980.148,3.416
-87.596,990.64,-2.684
-62.952,1003.328,-8.54
-41.236,1002.84,-13.908
-43.92,985.272,4.392
-54.168,980.636,25.376
-60.268,976.488,20.496
-77.104,977.464,15.86
-73.932,983.32,-7.564
-79.544,988.688,-1.952
-74.42,986.492,-5.124
-72.712,982.588,-2.196
-81.984,978.44,2.928
-81.496,986.98,-3.66
-75.884,998.936,-21.96
-72.712,1003.572,-25.864
-69.784,1006.256,-26.108
-67.1,1003.816,-23.912
-73.932,1000.644,-17.812
-77.592,990.884,-16.104
-71.492,987.224,-23.424
-74.908,979.172,-24.4
-80.032,971.364,-12.2
-82.96,971.364,-13.176
-76.372,975.756,-18.788
-67.1,976.732,-26.84
-76.86,976.0,-10.492
-78.812,978.684,-15.616
-76.372,985.028,-20.008
-72.712,985.028,-16.348
-70.76,989.176,-12.688
-67.588,993.324,-23.912
-70.028,988.932,-22.204
-79.3,995.764,-23.18
-62.464,995.276,-31.964
-82.716,992.104,-14.152
-75.64,990.884,-23.18
-81.74,990.152,-21.96
-85.4,981.124,-20.496
-90.036,981.856,-7.808
-80.52,983.564,-5.368
-66.856,994.544,-7.808
-54.412,1008.696,-21.716
-54.412,1011.868,-25.132
-51.24,1011.38,-28.548
-56.608,1002.352,-28.792
-75.152,987.712,-21.96
-95.892,981.124,-26.596
-114.68,983.32,-27.572
-111.508,981.124,-30.744
-92.964,988.2,-26.596
-60.756,996.74,-32.452
-62.952,993.324,-19.764
-81.252,979.904,9.516
-87.352,977.708,13.176
-70.272,980.88,3.172
-63.44,981.612,4.392
-63.44,980.392,14.396
-71.004,976.244,24.156
-74.908,973.072,27.572
-76.616,971.608,20.252
-85.156,975.756,10.736
-73.932,973.804,1.708
-76.372,980.392,3.66
-86.132,988.932,5.856
-93.94,994.544,-3.172
-97.844,999.668,-18.3
-101.016,1003.816,-20.252
-76.372,1010.892,-33.184
-63.44,998.448,-20.496
-68.564,986.248,-10.492
-74.176,978.684,-28.06
-105.652,990.884,2.684
-111.264,996.984,-13.664
-118.34,1019.188,-15.616
-93.452,1046.272,-37.088
-86.376,1074.82,-24.888
-122.732,1089.46,-40.992
-109.312,1105.564,-57.34
-136.884,1151.436,-69.784
-140.056,1143.14,-77.592
-142.008,1123.132,19.52
-114.436,1090.924,78.568
-98.088,1107.028,105.652
-110.532,1134.6,117.364
-133.956,1183.644,116.632
-209.596,1250.5,109.8
-245.22,1316.136,24.156
-218.868,1307.84,-40.504
-240.828,1266.36,51.24
-263.032,1205.848,100.284
-335.5,1225.124,91.744
-196.42,1219.756,-8.54
-175.924,1161.928,33.672
-228.384,1090.436,93.94
-280.6,1056.276,91.744
-367.952,1050.42,60.756
-431.88,1066.036,80.276
-294.264,1154.608,-18.056
-290.604,1132.16,-93.452
-344.528,1041.636,87.352
-279.868,997.716,148.108
-232.288,974.292,64.416
-145.18,958.188,-20.252
-7.32,941.108,-194.224
-146.156,798.124,-58.316
-249.368,696.376,164.212
-203.008,682.224,259.128
-107.36,688.812,94.184
85.4,713.7,-69.296
171.044,671.244,-62.22
13.42,549.976,139.324
-124.684,533.384,308.904
-196.176,598.532,271.328
-200.08,656.116,78.324
-211.304,694.668,16.592
-229.36,705.892,71.98
-287.92,702.964,112.24
-360.144,707.112,162.992
-363.072,768.844,122.244
-327.936,782.264,67.832
-294.996,826.428,58.56
-335.988,865.956,46.116
-340.38,924.028,-11.956
-340.868,946.72,-39.284
-355.02,945.988,14.152
-356.24,940.864,73.688
-335.012,933.788,115.412
-357.948,958.432,161.284
-326.716,994.544,124.684
-336.72,970.632,118.828
-313.54,978.684,89.548
-325.496,916.708,72.224
-427.0,880.596,120.78
-492.148,899.872,109.068
-536.556,912.316,109.8
-549.0,959.652,75.884
-319.396,977.22,22.204
