acc_x[mg],acc_y[mg],acc_z[mg]
48.068,932.812,14.884
14.64,934.52,44.652
24.156,889.136,48.312
63.44,876.936,9.272
44.652,938.18,19.276
86.376,970.632,0.732
65.148,965.508,11.956
17.568,944.524,16.592
-14.64,945.744,29.28
36.112,933.3,-23.424
33.672,955.992,-54.9
69.296,963.068,-81.008
95.892,973.316,-87.108
127.612,978.44,-92.964
96.868,996.984,-75.152
50.752,1012.844,-51.728
81.984,1001.864,-54.168
91.5,1030.9,-45.628
71.248,1051.152,-43.188
71.492,1072.624,-17.324
63.196,1101.904,-7.32
125.172,1020.164,-70.76
85.156,999.912,-83.692
27.084,998.692,-32.94
31.232,1026.508,-28.548
61.244,1027.972,-40.992
67.1,1007.72,-47.824
51.484,1009.184,-29.524
50.996,1004.304,-34.892
36.844,999.912,-27.816
27.328,996.984,-3.904
44.652,993.568,-29.28
80.764,978.928,-73.444
78.324,984.052,-83.936
67.344,978.928,-66.124
33.184,975.756,-28.792
17.08,994.788,-8.052
30.5,1017.724,-25.376
16.592,1016.016,19.764
19.764,985.272,7.564
21.472,991.616,-8.54
37.82,986.492,-43.92
13.908,1002.352,-12.2
17.812,996.252,-1.22
63.44,983.564,-33.672
49.044,1001.62,2.684
9.76,986.492,4.88
16.348,996.74,9.272
11.956,990.884,24.4
87.84,986.248,12.2
147.62,983.076,-46.36
91.744,972.34,-70.516
25.62,986.248,-35.136
33.428,982.832,-40.504
57.584,944.28,-30.012
97.112,1059.936,-82.96
72.468,1005.524,-125.172
38.552,1045.54,-78.08
-35.38,1032.852,1.708
-44.652,985.516,10.248
-27.816,976.488,-24.888
75.884,978.684,-101.992
11.956,988.688,-72.956
142.008,996.496,23.18
98.82,960.14,35.136
-9.272,978.196,2.196
6.588,976.976,-44.408
16.104,964.776,20.496
38.064,946.72,67.832
79.3,944.036,81.008
64.172,953.308,65.148
107.604,915.0,7.32
122.244,936.96,17.568
120.048,979.904,58.804
135.664,991.128,51.24
63.684,1033.584,52.216
32.452,1011.136,35.624
5.612,1037.732,42.7
-10.248,1055.3,29.524
91.744,1064.572,-79.3
71.248,1062.62,-67.344
42.7,1042.856,-49.288
23.668,1039.684,-61.732
30.744,1016.016,-85.888
6.588,1007.72,-63.196
-41.724,995.032,-15.616
-55.388,979.416,-2.196
-0.732,956.724,-22.448
15.372,959.896,-21.716
-41.236,967.216,-3.416
-40.504,951.112,-23.668
36.356,925.248,-76.372
-15.86,966.972,-89.06
29.28,968.68,-56.608
-18.544,1003.816,-50.996
-16.348,1014.552,-55.388
28.548,1031.876,-73.2
71.492,949.648,-121.512
6.1,957.944,-61.0
-35.624,996.252,-4.636
-25.376,1007.72,-24.644
1.952,1014.064,-53.68
