acc_x[mg],acc_y[mg],acc_z[mg]
-48.556,980.148,136.64
-61.732,974.292,142.496
-73.932,961.604,150.304
-87.84,954.772,161.284
-88.328,961.604,167.14
-81.008,974.536,168.604
-68.564,984.784,175.68
-43.92,979.66,180.56
-53.436,965.996,188.368
-77.348,954.284,190.32
-83.692,968.192,193.248
-75.884,983.808,193.98
-45.14,991.616,179.584
-33.672,990.64,167.872
-25.132,983.076,158.112
-27.328,979.904,158.844
-40.26,972.34,164.7
-52.704,960.628,164.456
-55.388,956.724,160.796
-54.656,956.724,156.892
-54.412,952.088,154.696
-61.976,950.38,162.992
-62.952,949.892,168.604
-55.632,955.504,175.436
-57.828,962.336,184.464
-47.092,978.928,188.856
-31.232,1001.132,191.54
-13.42,1016.748,188.368
-1.952,1019.432,183.976
-1.22,1012.112,184.952
-11.224,992.592,185.928
-36.112,980.148,187.88
-60.512,983.076,194.468
-55.632,997.96,202.032
-46.36,1003.084,194.468
-47.336,990.152,176.656
-62.708,970.388,164.456
-74.908,960.14,166.896
-85.644,953.064,181.292
-82.716,957.944,186.66
-74.664,966.728,191.052
-54.412,977.22,194.224
-20.252,989.908,187.392
-16.348,989.908,177.388
-9.028,989.664,161.04
-15.616,988.2,152.988
-36.6,981.856,139.812
-62.952,974.78,132.492
-83.448,965.02,126.148
-85.888,961.604,121.512
-83.936,955.016,121.756
-74.908,956.48,117.364
-68.564,956.968,118.34
-75.396,963.556,125.172
-73.444,969.9,127.368
-78.08,981.368,132.98
-87.596,995.52,144.204
-80.52,987.712,136.884
-74.176,986.492,137.616
-69.052,984.296,143.96
-74.42,973.316,142.984
-73.444,965.996,139.08
-81.984,960.384,136.884
-89.06,958.676,134.932
-96.136,958.432,132.98
-96.868,962.824,128.1
-103.456,972.34,125.904
-100.284,982.344,125.66
-101.504,984.052,130.54
-100.284,979.416,135.42
-97.6,975.756,133.468
-90.036,975.024,127.124
-78.324,981.612,128.1
-78.812,980.88,127.368
-85.888,977.464,127.612
-88.328,976.488,126.88
-96.136,972.584,129.076
-100.772,965.752,129.32
-109.556,960.872,132.98
-113.46,963.556,132.248
-112.972,969.9,131.516
-102.724,980.148,130.296
-100.04,987.468,131.028
-96.624,987.224,133.956
-96.624,985.272,140.056
-97.356,981.368,146.644
-104.432,973.804,147.62
-104.676,972.584,139.812
-105.652,974.536,137.128
-107.36,974.048,138.104
-107.116,970.876,139.08
-102.968,968.192,142.008
-100.04,961.604,142.984
-104.676,955.992,144.204
-104.676,955.748,144.936
-102.968,968.436,140.788
-86.132,980.636,135.908
-81.252,984.54,128.832
-75.152,990.64,124.196
-87.84,986.004,121.756
-102.968,978.44,116.876
-109.556,973.56,118.828
-111.508,971.12,126.148
-102.968,971.852,131.516
-96.136,967.948,138.348
-88.816,968.436,139.568
-90.768,967.704,140.788
-88.816,970.876,142.496
-85.644,980.392,145.668
-84.424,990.64,139.324
-87.108,996.008,130.54
-89.06,992.104,126.392
-87.108,986.736,124.44
-85.4,981.856,126.392
-91.256,975.268,128.832
-97.356,969.168,133.224
-96.38,967.216,139.08
-89.304,967.46,138.104
-96.136,966.972,140.056
-86.376,976.732,127.124
-85.888,987.468,124.928
-81.008,992.104,123.464
-83.448,997.472,129.564
-100.528,1010.404,136.884
-112.24,1037.0,140.544
-134.444,1070.184,148.84
-143.472,1102.392,144.692
-145.668,1138.016,147.376
-156.16,1164.856,144.448
-162.26,1187.548,149.084
-196.176,1179.252,161.772
-290.116,1137.284,155.428
-355.02,1087.508,148.352
-349.652,1040.66,127.612
-226.676,1016.26,91.988
-115.412,1008.208,77.104
-77.592,982.832,71.98
-103.212,938.668,73.688
-156.648,884.988,44.164
-180.072,876.204,56.608
-93.94,855.708,60.024
65.636,852.78,56.608
207.644,869.616,57.34
131.516,840.824,54.656
-50.752,841.556,94.428
38.064,821.304,117.364
85.888,795.928,98.088
441.152,855.952,60.756
456.768,884.5,117.852
253.516,853.268,135.42
330.132,816.424,197.152
485.804,711.748,270.84
575.108,635.62,387.472
534.36,575.84,481.168
556.564,505.324,623.908
662.948,442.616,693.692
712.724,427.0,748.104
722.484,423.584,830.82
730.536,401.868,874.252
731.268,378.444,887.184
705.892,365.756,882.548
715.896,380.64,867.664
660.508,389.424,839.848
609.268,407.236,781.532
525.82,414.8,723.704
506.544,420.9,666.852
475.312,414.068,612.196
499.468,416.508,538.02
531.188,407.236,438.712
566.324,432.612,341.6
591.7,455.792,240.828
621.468,480.924,147.376
677.588,478.484,70.76
715.896,486.292,-15.616
782.996,490.928,-89.792
828.624,498.004,-146.4
949.648,504.592,-215.452
928.42,494.832,-249.856
1002.108,501.664,-285.968
1063.352,467.016,-296.216
1123.864,458.72,-277.184
1181.448,441.64,-235.948
1150.46,408.944,-169.336
1074.088,375.272,-117.608
1077.504,376.492,-54.168
1077.26,365.756,-9.76
1040.172,342.088,24.888
986.736,343.796,57.828
969.412,327.692,118.828
945.988,321.592,190.564
910.608,286.456,256.2
854.976,258.396,310.124
815.204,231.8,355.02
835.212,222.284,403.82
808.616,223.26,451.888
