acc_x[mg],acc_y[mg],acc_z[mg]
161.284,996.252,18.544
151.524,996.496,24.888
146.644,1000.4,29.036
143.716,986.248,27.328
145.912,983.808,16.836
138.592,980.148,10.98
124.684,979.172,10.736
128.832,980.392,9.028
137.128,976.732,8.54
143.96,980.148,11.956
134.932,984.54,12.444
131.272,983.808,7.808
137.86,986.248,3.66
135.908,989.664,5.124
121.268,987.224,7.32
119.316,983.808,4.636
123.464,985.76,3.904
126.392,988.688,3.66
126.148,990.396,6.1
128.588,991.128,10.736
136.64,997.228,12.932
142.74,996.984,16.348
142.496,996.252,16.592
122.488,987.956,11.712
113.46,985.028,8.296
111.996,982.1,8.784
107.848,979.66,5.612
110.532,980.88,2.196
123.952,980.148,-2.196
122.244,981.612,-7.564
126.148,993.08,-8.54
125.416,996.984,-3.172
129.076,992.836,2.44
130.052,986.492,6.344
116.388,978.44,12.932
98.576,971.608,21.96
94.184,971.364,26.596
103.944,975.756,24.156
116.632,976.976,15.372
124.196,986.492,12.688
135.908,998.448,7.808
136.884,1005.036,4.636
135.176,1006.744,-0.244
119.804,995.764,-1.708
105.896,983.808,-4.636
101.992,980.88,-9.76
103.944,984.54,-7.564
113.216,992.592,-2.196
109.312,986.98,4.148
97.356,977.464,9.272
92.232,976.0,9.516
94.428,978.44,10.736
101.016,983.808,10.98
99.796,982.1,8.54
101.992,987.224,5.368
97.6,989.176,3.172
92.72,995.52,5.612
102.968,998.448,8.54
98.088,991.616,9.272
86.62,996.252,3.416
87.596,1004.304,-1.464
95.648,1011.38,2.44
93.696,1006.5,0.488
75.64,990.884,-4.392
68.564,985.516,-11.224
78.08,988.932,-17.568
83.692,992.592,-15.86
75.396,993.324,-16.348
65.392,982.344,-17.324
65.148,969.168,-17.324
67.1,964.776,-19.52
81.496,968.192,-15.86
89.06,975.756,-15.372
90.28,981.124,-12.688
81.74,986.492,-1.464
84.912,988.688,-0.488
85.644,988.444,-0.732
82.228,995.276,-7.564
69.052,998.204,-8.296
68.564,996.252,-5.856
69.296,992.836,-4.392
71.98,998.692,-7.32
67.344,999.912,-7.076
70.516,999.912,-6.588
65.88,995.764,-5.124
60.268,990.152,-4.148
53.436,986.736,-1.708
42.944,976.244,-9.272
58.804,982.1,-10.98
77.592,989.42,-3.66
86.62,1001.132,-4.636
73.444,996.008,-7.076
55.632,988.688,-14.396
40.748,981.856,-16.592
43.676,979.416,-16.348
46.36,979.172,-16.104
41.236,982.832,-18.056
48.8,982.588,-19.764
58.56,992.104,-16.592
56.608,994.544,-7.32
48.556,990.152,-0.976
41.724,979.172,0.976
32.94,966.728,-5.612
52.704,977.22,-10.004
70.028,986.736,-11.956
72.468,992.348,-9.272
55.144,988.444,-6.588
35.136,989.664,1.952
10.736,1026.508,28.06
-31.964,1090.924,64.904
-56.852,1149.972,66.856
-43.188,1181.692,53.924
-55.388,1183.644,33.184
-102.236,1122.888,17.812
-127.124,1062.62,2.928
-151.524,945.744,23.424
-78.812,914.756,-10.004
79.788,846.192,30.256
127.124,679.54,-49.288
112.728,580.964,-101.016
40.748,581.94,-94.672
70.028,535.824,-29.524
221.796,508.984,-62.464
499.712,523.868,-79.788
712.48,534.604,-106.384
728.584,470.188,-77.592
587.552,401.136,-2.928
489.952,257.664,117.12
646.356,63.928,150.06
948.916,-38.796,125.904
1263.188,-22.204,100.284
1235.372,-20.252,40.016
1048.468,37.088,19.52
944.28,-47.824,82.716
980.392,-174.704,134.2
1059.204,-243.512,160.796
1074.82,-242.78,154.452
997.228,-223.26,115.9
982.588,-264.008,70.028
1143.628,-334.036,56.12
1222.928,-358.192,42.944
1230.736,-354.532,41.236
1188.036,-339.648,15.616
1181.448,-333.792,9.272
1210.484,-320.128,18.544
1243.18,-349.408,7.32
1238.788,-359.656,21.716
1221.952,-346.236,38.064
1173.64,-340.624,22.936
1174.616,-322.568,4.392
1196.82,-308.904,8.052
1180.716,-306.464,8.784
1146.068,-297.68,3.416
1154.608,-308.172,-12.932
1144.848,-308.416,-17.08
1102.148,-293.532,-9.272
1083.848,-289.872,-10.98
1067.744,-313.052,-29.28
1053.348,-309.88,-32.94
1043.1,-300.852,-17.324
1046.272,-312.32,-5.368
1010.404,-334.28,-14.64
972.828,-331.84,-20.008
975.512,-330.376,-3.66
974.048,-341.112,8.296
959.652,-327.448,3.904
960.384,-320.128,0.488
987.956,-300.12,-4.88
1031.876,-310.612,4.636
1071.648,-315.736,10.736
1156.316,-297.192,34.892
1227.32,-270.596,78.08
1366.4,-254.98,95.648
1548.912,-284.748,65.392
1712.148,-335.744,23.668
1840.248,-332.328,31.232
1853.18,-356.484,60.268
1769.732,-369.66,67.344
1708.976,-393.572,43.432
1695.8,-428.464,23.424
1605.764,-463.112,-11.712
1496.208,-469.944,-55.388
1405.684,-470.92,-91.988
1257.332,-441.884,-131.516
1158.268,-373.32,-170.068
1036.756,-352.336,-234.484
894.748,-282.552,-294.02
747.128,-223.748,-358.68
579.988,-157.868,-407.48
419.68,-106.872,-447.496
289.628,-57.828,-469.7
124.928,-26.596,-441.152
-93.452,32.452,-346.236
-268.4,70.76,-233.752
-282.064,86.62,-164.212
-204.96,33.916,-34.16
-161.04,-16.348,144.448
-123.22,-53.192,280.844
15.372,-87.108,347.7
189.832,-125.66,466.528
414.312,-151.524,584.624
627.812,-180.316,703.452
766.892,-253.028,796.66
989.176,-321.348,841.068
1295.152,-323.056,857.172
1560.136,-298.412,839.604
1730.204,-266.204,751.276
1869.04,-305.0,649.772
1917.108,-334.28,569.496
1936.384,-294.996,435.296
1923.94,-287.676,290.116
1876.116,-267.18,172.508
1705.56,-264.252,53.192
1533.784,-210.816,-85.156
1404.708,-166.652,-267.18
1270.264,-119.316,-404.796
1136.796,-62.952,-489.952
971.608,-47.824,-534.36
804.224,-11.956,-525.088
690.276,-10.004,-480.192
669.292,-1.952,-424.56
685.884,17.324,-386.252
718.092,31.476,-329.4
771.772,50.508,-267.424
850.34,52.704,-177.876
901.58,16.592,-100.772
946.964,-12.2,-50.02
1011.624,-32.208,-7.564
1038.464,-27.084,18.544
1075.308,-15.86,24.644
1104.832,-32.696,59.292
1079.944,-38.552,81.74
1073.356,-35.136,77.836
1109.468,-14.152,73.688
1121.18,-2.684,85.4
1086.044,-21.716,82.716
1067.5,-30.256,73.444
1071.648,-19.764,59.536
1063.596,1.708,59.536
1062.864,-11.712,54.412
1049.444,-8.54,45.384
1066.28,0.488,42.944
1127.28,-1.22,58.804
1234.396,-9.516,79.056
1304.424,-15.128,100.772
1328.336,-69.784,92.964
1402.268,-97.844,100.04
1544.52,-122.244,111.264
1618.452,-129.32,135.42
1546.96,-90.524,179.096
1342.732,-43.676,171.288
1142.164,33.428,125.416
1006.012,78.568,84.912
861.808,113.948,99.796
754.448,208.376,110.288
595.36,291.336,127.368
507.032,345.504,68.564
526.308,412.848,73.444
543.876,494.1,118.828
441.152,556.808,110.776
286.212,601.948,69.784
173.24,655.872,50.02
29.524,684.908,76.616
-122.732,660.02,132.98
-346.724,662.216,179.34
-561.932,700.28,210.816
-529.236,886.208,161.772
-471.896,908.656,154.208
-432.612,887.184,137.86
-609.024,908.168,119.56
-637.084,911.096,78.812
-558.272,984.052,59.048
-426.024,1054.324,33.184
-371.124,1102.392,46.36
-401.868,1090.192,61.488
-421.144,1007.476,55.388
-366.976,980.392,27.572
-320.616,966.484,17.812
-311.832,969.9,18.544
-290.848,991.616,25.864
-277.184,997.96,17.324
-257.176,981.612,2.44
-223.992,957.944,0.244
-211.548,933.788,13.42
-200.568,954.528,9.516
-214.476,960.628,6.1
-247.172,949.404,4.392
-232.044,934.032,-14.884
-206.668,938.912,-30.256
-208.376,948.916,-28.304
-230.092,957.212,-9.028
-203.74,945.988,-8.54
-172.508,960.628,-15.86
-181.292,968.192,-20.252
-204.228,969.412,-9.516
-200.08,966.972,-7.564
-168.848,969.412,-13.176
-163.236,974.536,-13.176
-180.804,963.8,-16.348
-189.1,945.744,-12.444
-172.752,946.476,-18.056
-137.372,975.756,-21.96
-137.128,986.248,-27.328
-141.032,994.3,-26.596
-131.516,986.492,-26.84
-130.052,979.172,-21.472
-146.644,976.976,-21.472
-161.284,975.756,-28.06
-164.7,971.364,-33.672
-167.628,963.312,-30.744
-164.944,963.556,-26.352
-144.448,968.68,-32.94
-119.072,976.976,-38.308
-126.148,976.488,-38.796
-132.248,984.54,-30.256
-139.08,982.832,-26.84
-116.876,992.348,-38.552
-101.016,996.496,-47.336
-116.388,995.276,-42.7
-136.884,986.004,-31.964
-132.248,982.344,-23.424
-111.996,985.028,-21.228
-99.064,979.172,-28.06
-81.984,985.76,-24.644
-76.616,991.372,-15.616
-95.892,990.396,-6.344
-108.092,990.64,-1.952
-108.092,986.004,1.952
-105.896,972.584,-1.464
-98.332,973.072,0.732
-100.772,968.192,-1.952
-105.896,973.072,-9.76
-102.968,980.392,-16.592
-107.604,988.932,-19.764
-122.244,989.176,-21.96
-127.368,991.86,-24.888
-123.952,991.86,-29.036
-98.332,992.592,-33.916
-93.696,995.276,-32.696
-91.5,995.276,-31.964
-95.892,988.932,-35.38
-93.696,991.128,-31.964
-93.208,990.152,-31.72
-91.5,977.708,-37.088
-93.208,972.584,-39.528
-101.26,981.124,-33.916
-102.48,986.248,-34.404
-92.72,986.98,-33.916
-89.548,984.54,-30.988
-93.94,989.176,-18.544
-91.988,988.2,-14.152
-86.132,987.224,-20.496
-88.816,985.76,-24.644
-96.868,984.784,-23.18
-100.528,980.88,-17.324
-98.332,983.076,-17.568
-97.112,982.344,-20.984
-99.796,980.636,-21.716
-96.38,988.444,-18.3
-95.892,987.712,-14.884
-97.356,983.32,-18.3
-96.136,979.172,-19.764
-101.748,978.44,-16.104
-103.212,980.636,-20.252
-98.576,977.464,-16.836
-94.916,984.784,-18.056
-91.012,985.516,-22.692
-92.72,988.2,-27.084
-104.676,987.712,-26.596
-115.656,980.88,-21.472
-112.972,972.34,-22.204
-95.16,968.68,-21.716
-91.744,973.56,-19.276
-100.284,980.148,-14.64
-104.676,986.736,-14.884
-103.944,988.932,-19.764
-98.82,984.784,-23.424
-107.36,985.028,-25.376
-112.728,984.052,-22.448
-114.924,978.928,-20.74
-111.02,970.876,-21.716
-118.096,970.632,-23.912
-123.22,967.948,-24.644
