acc_x[mg],acc_y[mg],acc_z[mg]
-25.620,995.032,-21.472
-6.832,1016.016,-43.920
-10.980,1016.016,-20.496
-3.660,1020.896,-25.620
-13.664,1016.748,-13.908
-20.252,1007.964,8.052
-8.784,1003.572,5.612
-6.344,996.984,0.976
-2.196,994.056,10.248
11.468,988.200,7.564
7.564,994.788,1.708
-2.440,1005.036,-0.488
-1.220,1006.500,-0.976
-2.684,1006.500,-7.564
-15.372,1002.840,-8.052
-2.440,996.740,-12.688
2.928,997.716,-13.664
7.320,998.448,-20.740
3.660,993.568,-6.588
4.880,990.152,-13.420
-3.660,988.688,-13.176
-12.444,983.564,-10.248
-9.760,976.000,2.684
8.296,976.976,-12.932
4.636,976.732,-2.196
19.520,976.244,6.832
20.496,975.756,5.856
15.372,978.440,-8.540
24.888,985.028,-5.856
24.400,987.956,0.488
28.548,986.492,-11.712
23.424,981.612,-17.812
13.908,981.368,-12.688
33.672,990.884,-24.644
33.428,999.180,-18.788
31.964,997.716,-15.860
15.128,992.836,-11.468
8.784,989.908,-2.928
11.224,997.228,3.416
17.812,1004.060,-1.220
30.012,999.180,-9.028
15.860,995.764,-12.932
10.004,1001.132,-23.424
13.420,1007.232,-13.176
28.060,1010.648,-6.100
32.696,1011.868,-6.588
35.868,1009.428,-8.540
38.308,1005.524,-8.296
39.040,1003.328,0.976
34.648,1001.132,10.492
30.012,1002.108,7.076
20.008,1000.400,-0.732
20.496,995.276,6.832
27.328,995.276,10.004
17.568,996.008,4.392
10.980,995.032,-5.368
11.224,995.764,-5.368
7.564,997.472,5.368
10.248,999.668,-1.464
11.712,995.032,3.416
12.932,990.396,13.176
-16.836,988.444,28.792
-18.544,984.052,19.032
-22.936,982.832,0.732
-35.868,989.420,-4.880
-35.136,1000.644,-5.856
-42.700,998.692,-4.148
-48.800,993.080,-11.712
-27.328,999.912,-26.840
-18.300,1010.648,-9.760
-10.736,1004.548,-2.684
4.392,994.788,-19.520
7.808,984.296,-18.300
-17.324,972.828,-3.416
-14.884,968.436,-16.836
-47.824,964.776,-4.148
-41.724,964.776,-7.808
-41.968,963.068,-20.984
-35.868,967.704,-45.628
-35.624,976.000,-45.628
-38.552,982.588,-35.136
-37.576,984.296,-42.944
-48.068,980.636,-40.748
-44.896,983.320,-53.680
-31.720,995.032,-58.560
-21.716,1008.696,-53.924
-21.228,1013.088,-46.604
-24.644,1009.428,-55.632
-35.136,1006.012,-51.728
-44.164,1006.500,-37.332
-31.964,1002.596,-30.500
-16.592,993.080,-26.840
-23.180,988.444,-27.084
-28.304,988.200,-32.696
-29.280,984.052,-30.500
-44.652,976.244,-29.280
-48.556,977.464,-43.432
-41.480,976.732,-40.016
-43.432,980.880,-30.988
-47.336,983.808,-38.552
-44.896,984.296,-41.480
-49.288,980.636,-40.992
-52.460,982.588,-43.920
-53.924,989.664,-32.452
-29.524,995.032,-30.256
-22.204,1003.084,-32.208
-31.232,1003.328,-38.308
-31.964,1005.768,-29.280
-27.816,1011.868,-22.936
-52.948,1013.820,-28.548
-97.112,1054.324,-13.420
-50.752,1105.808,-40.016
-254.492,1169.736,-30.256
-257.420,1196.332,-23.424
-283.528,1120.448,-2.440
-215.452,988.932,40.748
88.084,846.436,-56.852
528.748,746.396,-230.824
618.540,739.076,-237.900
467.260,648.552,102.968
375.028,477.996,348.432
671.488,326.228,257.908
1105.564,304.268,-20.252
1434.720,490.928,-492.880
839.360,486.048,-111.020
678.564,480.192,132.248
942.328,455.792,-86.864
1094.828,399.428,-118.340
1206.824,308.660,-118.584
1077.992,255.712,-64.416
975.756,167.140,71.736
1000.888,162.992,35.136
1106.296,191.052,3.904
1009.672,208.620,52.948
967.948,208.376,35.136
1018.700,204.716,-13.420
986.736,203.984,-65.636
895.480,214.476,-48.556
808.372,230.580,-52.704
740.784,238.388,-33.184
692.228,227.652,-13.664
655.872,204.472,27.572
630.252,166.652,43.920
579.988,143.716,20.496
577.304,171.044,-4.392
563.152,213.500,-25.864
538.996,204.960,-26.108
605.852,170.312,-15.128
688.324,145.424,-52.704
599.508,114.924,-101.016
744.444,94.428,-17.812
812.032,49.044,17.080
821.792,19.276,52.704
821.548,5.124,51.972
699.792,-2.440,14.396
673.196,-18.544,14.152
1034.316,-13.664,-59.292
1260.748,24.644,-130.540
1115.812,-0.244,-96.868
921.344,-50.752,-66.124
874.984,-79.788,-120.536
1161.928,-105.164,-142.496
1367.132,-128.344,-122.244
1302.960,-163.480,-50.508
1259.284,-230.580,-44.408
1343.220,-281.576,-61.488
1461.804,-308.172,-47.824
1628.456,-289.140,-29.524
1677.988,-264.496,-17.324
1597.712,-260.592,11.224
1515.240,-270.352,28.548
1479.372,-284.260,54.412
1492.060,-284.992,61.244
1361.276,-277.672,86.376
1285.392,-274.744,101.016
1345.416,-233.996,44.408
1472.784,-202.764,-71.492
1287.832,-178.852,-29.768
1124.108,-151.280,3.416
1211.948,-110.044,-55.388
1224.148,-86.132,-97.356
1133.380,-62.952,-20.496
935.008,-20.252,75.396
824.720,-109.556,-12.932
703.696,395.280,115.412
730.536,400.892,83.936
650.016,515.084,72.712
640.988,611.220,68.808
664.656,631.716,1.464
603.168,676.124,21.960
405.284,762.500,123.952
509.228,809.836,-35.136
570.228,764.452,-95.648
595.360,813.252,-148.108
506.056,803.248,-72.956
466.772,844.728,-110.044
364.048,859.856,-82.472
323.544,892.796,-89.304
407.236,939.888,-226.676
376.248,943.060,-192.028
378.688,979.172,-129.564
317.932,993.568,-87.840
275.476,1028.948,-116.144
215.208,1064.572,-154.696
248.148,1108.736,-122.488
301.828,1154.608,-62.220
264.496,1168.272,-54.412
219.600,1184.620,-46.360
191.784,1236.348,-54.168
183.000,1254.892,-70.760
222.772,1271.484,-62.464
194.468,1203.652,36.844
240.584,1246.108,13.420
241.316,1212.192,-72.956
179.828,1202.432,-85.400
212.280,1268.556,-116.388
201.544,1244.400,-77.836
149.816,1182.912,-54.900
250.832,1190.720,-80.276
230.336,1164.856,16.348
219.600,1143.628,22.936
323.056,1174.616,-77.104
315.248,1149.484,-70.516
296.704,1097.024,25.376
298.412,999.180,9.028
186.416,911.340,35.136
189.344,853.268,39.772
253.760,810.324,42.456
273.768,799.832,36.844
