acc_x[mg],acc_y[mg],acc_z[mg]
-46.604,981.124,-7.076
-38.796,995.764,-36.356
-45.384,999.912,-39.772
-25.132,995.520,-50.752
-30.012,999.668,-48.312
-44.164,986.248,-15.860
-46.848,982.832,-4.392
-32.452,975.024,-15.372
-30.988,975.024,-25.620
-42.456,984.540,-38.796
-50.020,982.588,-44.408
-49.044,979.904,-41.968
-44.896,978.440,-44.408
-45.872,984.540,-45.628
-45.872,985.028,-38.796
-39.040,978.196,-32.452
-39.040,987.712,-32.452
-34.648,988.688,-42.456
-37.332,985.516,-34.160
-38.064,983.320,-37.088
-32.208,993.080,-46.360
-47.336,996.008,-26.840
-42.944,1001.132,-25.376
-14.152,1010.404,-45.384
-10.736,1019.920,-53.680
-34.160,1021.140,-41.968
-31.964,999.912,-26.596
-31.720,982.832,-4.880
-15.372,984.052,-14.396
-28.548,996.984,-21.228
-35.380,993.812,-19.520
-22.204,993.080,-46.604
-35.380,995.520,-67.344
-32.452,990.640,-77.592
-43.920,976.488,-45.628
-43.920,975.512,-25.376
-48.068,975.512,-31.476
-33.672,979.172,-49.776
-39.772,985.272,-59.048
-59.048,985.760,-43.920
-55.144,967.216,-28.060
-44.164,963.312,-25.376
-53.680,969.900,-20.740
-43.188,984.296,-37.332
-37.088,986.736,-46.360
-33.184,983.808,-40.016
-48.556,986.980,-30.256
-53.192,988.200,-29.524
-39.772,987.224,-36.844
-39.528,991.128,-42.212
-18.300,991.616,-41.236
-24.644,997.228,-28.792
-38.552,1000.644,-25.132
-35.624,990.884,-30.012
-28.304,987.468,-41.236
-50.752,991.372,-30.744
-56.364,985.028,-38.552
-45.872,980.636,-42.456
-48.068,975.756,-31.720
-43.676,986.248,-38.064
-38.064,984.784,-36.356
-34.892,979.904,-27.816
-40.016,983.564,-30.500
-32.452,989.176,-41.236
-27.084,996.008,-50.996
-38.064,993.324,-35.624
-37.332,989.420,-30.012
-32.940,993.568,-37.576
-45.872,990.396,-33.184
-36.844,989.664,-44.164
