acc_x[mg],acc_y[mg],acc_z[mg]
-12.932,1051.152,-88.328
-29.036,1047.98,-100.284
-42.7,1043.832,-103.944
-42.212,1042.612,-123.22
-59.292,1037.976,-141.032
-73.444,1034.804,-164.7
-81.984,1034.316,-203.74
-127.368,1047.736,-223.016
-124.684,1053.592,-250.344
-102.48,1025.776,-240.584
-117.12,965.996,-188.856
-179.828,923.54,-115.168
-221.796,886.696,-90.28
-255.712,873.032,-98.332
-258.396,876.692,-129.32
-264.008,880.352,-134.688
-262.056,868.884,-116.876
-277.184,862.296,-71.004
-314.272,866.932,-24.4
-323.3,874.496,-2.684
-293.532,922.32,-41.48
-251.076,956.968,-87.596
-251.564,970.388,-71.004
-269.376,956.724,-33.672
-273.28,951.844,-20.252
-275.964,950.624,-42.944
-271.816,943.304,-83.936
-286.7,933.056,-96.868
-318.176,921.1,-82.96
-330.62,911.34,-92.964
-319.396,928.664,-113.704
-242.048,931.592,-152.5
-188.612,953.796,-210.328
-245.952,949.404,-178.12
-286.7,928.176,-152.5
-342.82,927.688,-143.228
-347.944,926.224,-159.576
-353.068,928.908,-172.996
-421.144,923.784,-157.624
-505.812,930.372,-142.008
-611.464,925.248,-159.82
-708.088,903.532,-163.236
-839.36,887.184,-198.372
-923.052,869.372,-194.224
-949.16,860.588,-209.108
-1032.608,913.78,-316.712
-1174.86,1018.456,-488.244
-1476.2,1112.396,-577.548
-1338.34,964.776,-507.276
-904.752,696.62,-468.968
-1265.14,571.448,-380.152
-851.072,-233.752,-66.368
-68.808,-1180.228,295.972
454.328,-1483.276,863.272
1827.56,-1675.548,824.964
2151.104,-396.256,66.368
1405.928,-171.288,-366.0
1443.504,-800.076,355.264
1430.572,-888.648,606.828
1373.72,-679.052,498.248
1173.396,-337.208,264.74
1053.836,-223.992,276.452
933.056,-176.168,332.084
864.248,-162.748,361.364
907.192,-91.744,298.412
947.696,1.22,203.984
923.54,86.376,45.384
941.84,54.656,82.96
935.496,-11.224,153.964
960.14,-52.216,243.268
1013.332,-54.412,218.868
1095.804,-65.392,171.288
1164.856,-106.872,152.012
1244.156,-151.036,127.856
1303.936,-157.624,192.272
1272.46,-145.18,212.524
1337.852,-134.932,240.34
1453.508,-160.308,165.92
1585.756,-207.888,118.096
1647.244,-238.388,219.844
1661.152,-269.62,304.756
1653.1,-192.028,229.116
1692.628,-170.8,147.62
1789.496,-229.604,98.088
1835.124,-309.392,53.68
1691.652,-294.02,-15.372
1389.336,-281.82,23.668
1052.128,-286.456,23.668
1010.648,-278.892,-25.62
997.228,-231.8,1.952
660.508,-121.512,-50.508
418.948,12.2,-103.212
306.952,97.844,-93.94
314.272,96.624,30.256
228.384,161.284,107.36
88.816,321.836,-65.148
208.132,410.896,-166.164
424.56,346.724,-70.028
489.464,308.172,-118.34
636.108,388.936,-342.576
759.572,416.02,-584.136
917.684,377.224,-687.836
925.004,370.148,-705.16
846.924,346.236,-773.48
974.536,325.008,-858.392
1009.184,298.9,-858.88
976.732,247.904,-764.94
814.472,194.956,-586.82
737.124,109.8,-422.12
640.012,57.096,-229.116
545.34,68.32,-26.596
451.156,81.496,148.596
450.424,83.936,288.164
454.084,95.892,420.656
487.268,122.0,580.232
576.572,109.068,700.036
644.404,172.996,667.096
785.68,242.78,606.096
1052.128,126.148,707.6
1124.84,26.108,912.072
1106.784,-45.872,1027.484
929.396,-151.036,1018.7
1252.452,-248.636,1003.816
1465.22,-256.932,854.732
1518.412,-220.82,734.44
1313.452,-279.136,631.716
1477.908,-331.352,453.84
1766.072,-268.644,190.076
1662.372,-224.236,26.596
1486.936,-261.812,-25.132
1400.072,-315.98,-89.548
1388.604,-330.132,-203.984
1408.856,-252.052,-384.056
1317.112,-165.432,-513.62
1202.432,-127.612,-565.348
1095.072,-91.5,-595.604
1088.484,-52.46,-589.016
1014.796,13.664,-610.488
946.72,78.08,-592.676
890.6,42.456,-465.552
873.52,15.372,-361.608
825.452,92.232,-332.816
823.744,142.252,-293.532
806.664,133.712,-192.272
876.204,112.972,-121.268
962.58,92.232,-44.408
952.332,118.096,17.812
921.588,182.756,4.88
1024.556,221.552,-5.612
1038.708,202.032,41.48
1103.612,198.616,130.784
1172.176,166.652,267.912
1217.56,163.48,317.932
1070.184,205.204,245.952
1090.68,285.48,176.412
1097.024,330.62,175.436
1241.472,397.964,126.636
1525.732,394.304,61.732
1370.304,179.828,122.0
722.484,131.272,198.372
300.608,243.024,222.528
449.936,498.736,47.336
380.396,569.74,-3.904
-110.288,575.352,-5.368
-654.164,719.312,-82.228
-876.204,760.06,-70.272
-658.8,812.032,-49.288
-521.916,893.04,-217.404
-785.192,855.22,-318.42
-879.132,793.0,-353.312
-790.072,754.448,-335.744
-769.82,744.2,-257.42
-649.04,781.776,-232.776
-443.348,791.292,-225.944
-365.756,780.068,-193.004
-397.72,789.828,-173.24
-455.304,843.752,-197.884
-322.812,874.496,-254.492
-133.224,833.992,-228.872
-150.304,786.9,-146.156
-232.532,745.176,-89.548
-248.88,745.908,-75.884
-217.892,731.024,-56.364
-222.04,694.18,11.712
-311.588,700.524,52.46
-326.716,752.984,29.768
-355.508,839.36,-36.844
-338.428,913.536,-79.788
-286.212,967.216,-75.884
-268.888,998.692,-23.668
-304.756,1044.808,1.22
-342.332,1076.772,18.3
-288.652,1089.948,22.448
-194.224,1142.408,16.348
-113.46,1189.5,20.984
-131.272,1182.424,82.96
-162.748,1165.832,125.416
-148.108,1168.028,120.292
-147.132,1195.356,99.064
-128.1,1231.956,44.164
-85.888,1244.156,-2.928
-101.504,1221.708,3.172
-162.504,1189.5,44.164
-169.824,1170.712,44.408
-157.624,1144.116,40.016
-162.748,1094.584,47.336
-182.268,1056.764,44.164
-188.124,1052.86,6.832
-150.548,1046.516,-20.984
-163.236,1016.504,-9.272
-181.78,967.704,24.4
-141.032,951.6,13.42
-156.648,935.496,6.344
-159.576,936.716,0.0
-145.912,954.528,-30.744
-125.172,952.332,-29.28
-67.832,940.376,-6.832
-107.36,923.052,54.9
-144.204,919.148,75.152
-158.356,933.544,45.872
-168.604,954.528,13.664
-173.972,977.952,-14.396
-161.528,996.984,-25.62
-125.904,1003.328,-35.136
-151.524,1006.744,-11.468
-141.032,1016.748,-19.52
-135.908,1027.728,-26.108
-126.636,1018.7,-20.008
-129.32,1011.624,-16.348
-142.74,997.96,-5.856
-104.188,995.276,-17.568
-125.172,987.224,-6.1
-145.668,985.76,4.392
-128.588,995.276,-11.224
-115.9,989.664,-13.664
-143.716,971.364,15.128
-109.8,976.488,27.572
-96.136,982.1,34.404
-83.936,989.176,37.82
-115.656,991.128,39.284
-129.564,990.396,27.084
-141.032,992.348,21.716
-122.488,995.52,3.904
-138.836,995.52,3.172
-148.108,996.496,7.076
-193.98,995.276,18.056
-217.16,997.228,6.1
-207.156,999.668,-9.516
-212.28,993.568,-20.496
-248.88,952.576,-24.644
-293.044,909.388,-20.008
-321.836,883.036,-47.824
-524.112,904.752,-127.856
-678.808,994.3,-304.268
-971.852,879.132,-368.684
-1374.94,612.928,-286.944
-1171.2,-56.608,-17.812
-473.604,-611.464,200.568
169.336,-926.956,9.028
427.976,-1201.944,-4.148
1267.58,-1148.996,123.952
3141.256,-433.832,65.148
2161.352,-340.38,15.128
1190.964,-736.636,319.64
1406.66,-832.04,381.616
1599.176,-741.76,324.276
1713.612,-763.964,396.988
1637.24,-706.38,376.004
1413.736,-579.5,306.708
1295.152,-492.636,268.156
1285.88,-525.332,327.448
1330.776,-525.576,359.9
1230.004,-419.924,273.036
1155.584,-285.968,156.892
1293.444,-233.996,152.5
1514.508,-309.636,137.616
1885.632,-351.116,223.992
2134.756,-390.888,290.848
2121.58,-443.592,286.212
2170.38,-560.224,333.304
2041.304,-611.464,397.476
1851.472,-626.348,366.244
1732.644,-608.536,270.108
1508.408,-482.144,72.712
1238.544,-379.42,-21.472
868.396,-373.076,49.288
521.184,-396.012,168.36
196.908,-288.652,137.616
-139.568,-76.128,-7.076
-238.632,33.184,-31.72
-246.684,-21.716,38.552
-156.16,-9.272,101.992
-52.948,106.14,85.888
-3.172,230.336,-17.08
247.416,296.704,-68.32
439.444,404.796,-128.1
523.38,366.0,-76.372
769.088,256.932,-118.096
940.62,264.984,-244.0
1047.736,346.724,-371.368
1037.976,325.496,-391.132
987.468,231.8,-376.004
1046.272,122.976,-310.124
1041.88,179.34,-419.68
935.496,381.372,-657.336
895.48,486.78,-838.14
975.756,386.008,-835.212
990.64,241.804,-651.236
877.668,176.656,-465.552
729.316,166.164,-236.68
666.608,117.364,23.912
664.9,34.892,298.656
653.92,-35.624,559.492
682.956,28.06,731.756
678.564,74.908,854.976
651.48,56.852,907.436
798.856,43.92,902.068
1036.756,76.616,867.42
1117.52,73.688,816.424
1153.144,47.092,829.844
1169.004,50.02,858.88
1204.384,68.808,819.596
1206.092,83.692,745.176
1206.824,111.752,604.876
1241.716,140.788,380.396
1281.976,149.816,47.824
1461.56,200.812,-241.316
1534.76,245.952,-384.056
1355.908,149.328,-352.092
1233.908,112.484,-418.216
1323.944,135.664,-529.48
1357.372,160.796,-587.796
1228.296,143.716,-602.436
1145.092,121.024,-576.572
1045.54,122.488,-597.312
1031.632,164.944,-591.456
1003.572,180.316,-534.848
884.012,189.832,-460.672
797.148,232.776,-410.896
708.576,305.488,-403.332
798.856,330.132,-330.376
861.808,335.744,-271.572
824.72,326.716,-175.68
805.444,330.864,-104.188
848.144,366.244,-44.408
972.584,389.18,5.124
1020.164,423.34,46.36
1009.184,427.732,97.356
990.884,426.024,123.22
955.504,452.864,142.496
996.74,536.8,73.932
1061.644,604.388,-18.788
1017.724,608.536,-42.7
1019.92,594.628,-31.476
1070.184,620.736,-70.272
1159.976,494.344,-20.496
1089.216,407.48,-64.904
560.956,386.008,55.876
-29.768,505.324,248.392
-470.188,652.456,335.012
-665.388,759.328,301.584
-779.58,841.312,269.62
-857.172,854.244,150.792
-739.564,821.792,8.296
-588.04,788.852,-53.436
-532.408,816.668,-48.068
-502.884,915.244,-77.836
-534.848,961.604,-95.648
-542.168,966.484,-94.184
-489.22,942.572,-43.676
-267.18,965.02,-78.324
-198.128,972.096,-80.764
-325.008,959.896,-22.448
-403.576,940.864,16.836
-369.172,920.856,27.084
-285.968,896.456,47.092
-181.048,893.04,33.428
-213.5,891.82,40.26
-295.728,884.256,44.652
-358.436,881.572,37.82
-351.36,889.136,8.784
-266.448,906.216,-23.18
-214.232,912.804,-44.652
-267.424,919.392,-20.984
-318.176,942.328,-15.128
-323.3,971.852,-44.652
-316.224,979.904,-52.46
-239.608,979.904,-57.584
-182.024,966.24,-29.28
-191.296,957.7,3.904
-176.9,951.844,16.104
-193.98,946.72,14.396
-210.816,926.712,0.732
-205.448,927.2,-21.716
-212.524,927.2,-35.136
-167.872,893.284,5.612
-160.552,906.704,9.028
-217.16,946.232,-21.716
-198.128,972.096,-62.952
-163.724,978.196,-74.176
-180.804,979.66,-47.336
-142.496,990.884,-51.24
