acc_x[mg],acc_y[mg],acc_z[mg]
-194.712,975.512,-73.932
-202.764,964.532,-68.320
-201.300,962.824,-50.264
-194.468,959.896,-40.748
-184.220,965.508,-45.872
-184.952,959.164,-39.528
-197.396,956.236,-19.764
-196.420,954.284,-11.712
-178.364,970.632,-28.304
-173.484,976.976,-32.696
-177.876,982.588,-21.960
-190.564,987.712,-30.012
-190.564,998.692,-53.436
-198.860,991.372,-54.900
-188.856,986.248,-44.652
-186.416,986.736,-45.384
-194.712,980.148,-39.528
-198.616,970.388,-27.816
-202.276,965.264,-29.768
-182.512,960.628,-49.288
-187.636,956.724,-40.504
-189.100,951.112,-33.184
-202.764,945.500,-44.408
-221.552,953.308,-55.632
-215.940,965.508,-63.684
-185.684,976.488,-66.124
-162.748,976.488,-58.072
-172.020,973.072,-45.140
-191.052,972.096,-32.208
-189.588,969.656,-34.404
-194.224,972.828,-40.260
-193.492,975.268,-58.072
-202.520,973.804,-42.944
-207.888,973.804,-4.636
-183.732,979.416,-6.588
-173.728,988.688,-37.088
-160.552,994.056,-59.536
-159.576,997.228,-33.184
-154.452,991.860,-7.076
-138.348,985.760,-7.320
-131.760,985.028,3.904
-137.616,989.176,7.076
-153.720,996.740,-3.416
-169.336,1001.376,-13.908
-211.548,1005.280,-3.660
-196.420,1006.744,-9.028
-166.652,1016.992,-26.840
-150.304,1009.428,-28.304
-173.240,1013.576,-9.028
-171.044,1034.560,-35.624
-155.428,1039.928,-51.240
-138.348,1033.096,-19.276
-124.684,1032.364,-10.492
-125.172,1032.364,-40.260
-152.744,1024.068,-48.800
-172.752,994.056,-17.568
-209.596,974.048,5.856
-190.564,987.712,-50.020
-148.596,975.024,-53.924
-77.348,949.160,15.128
-105.164,944.036,68.808
-139.080,944.768,36.112
-172.020,969.168,-21.960
-208.132,958.432,-28.548
-186.416,957.700,-60.512
-161.528,934.520,-46.604
-158.844,942.572,-47.092
-200.080,949.892,-41.236
-231.800,945.744,-37.088
-235.948,933.544,-61.732
-219.112,941.352,-87.352
-176.656,955.260,-100.528
-158.600,983.320,-102.968
-173.728,970.144,-89.548
-163.724,985.760,-91.256
-150.304,978.196,-51.240
-171.532,974.292,-19.276
-158.356,986.248,-86.132
-162.016,1003.816,-146.644
-185.196,990.640,-90.280
-168.116,984.784,-41.724
-152.988,979.904,-23.912
-123.220,1004.792,-61.244
-131.760,985.760,-76.616
-146.888,964.532,-66.612
-166.164,1007.232,-96.380
-150.060,1036.512,-138.592
-141.276,1013.576,-101.748
-116.876,958.920,0.244
-98.820,950.380,12.200
-163.724,992.104,-56.608
-170.068,1012.356,-79.788
-71.004,1003.816,-71.004
-3.660,976.976,4.636
14.152,989.176,33.916
-27.572,1006.256,34.892
-84.424,1026.752,25.620
-135.176,1010.404,20.252
-80.764,985.516,-22.448
17.324,971.364,-60.268
-25.376,984.052,-36.844
-68.808,983.564,-5.368
-91.744,964.776,-11.224
-50.264,947.696,-34.648
-64.172,921.588,-22.936
-31.476,914.756,-76.128
-10.248,916.708,-98.576
-20.008,906.216,-45.872
-37.576,910.364,-16.592
-42.700,923.540,-23.180
-43.676,924.272,-22.204
-11.956,939.888,-29.768
-16.836,963.800,-35.136
-40.992,996.252,-69.540
-91.256,1042.612,-53.680
-196.176,1044.076,-3.904
-255.468,1112.396,-6.100
-132.248,1222.440,-97.600
-124.928,1159.244,-54.412
-104.676,1132.892,-16.104
-18.788,1243.180,59.048
86.376,1115.324,42.944
162.260,924.028,-122.488
165.920,838.384,115.656
472.140,675.636,74.176
720.288,765.428,-47.336
803.980,632.936,-149.572
709.552,546.804,99.064
552.416,564.372,335.744
853.756,391.376,267.668
954.772,396.988,118.340
754.692,303.780,70.272
645.136,336.232,154.208
575.108,223.016,100.772
414.800,202.520,47.580
343.308,197.884,51.728
270.596,154.696,117.608
232.776,71.004,310.612
132.492,-54.168,193.492
242.780,-14.152,31.476
410.652,-48.800,-36.844
467.992,-54.168,-64.416
546.316,-82.228,-173.240
566.568,-93.696,-269.376
649.772,-124.928,-321.836
859.124,-164.456,-351.116
930.616,-172.264,-407.236
973.804,-170.312,-425.780
1044.808,-256.932,-397.720
1218.292,-258.152,-543.632
1336.876,-298.900,-589.504
1388.116,-367.464,-437.248
1388.848,-381.860,-413.580
1467.904,-419.680,-355.752
1556.476,-487.512,-254.736
1635.044,-529.724,-161.040
1776.076,-530.944,-154.940
1952.000,-537.288,-173.728
2173.308,-604.388,-144.692
2195.756,-697.108,75.152
2296.040,-760.548,155.184
2240.896,-768.600,275.964
1949.560,-805.932,507.520
1862.696,-827.648,621.712
1969.568,-808.128,544.852
2036.912,-799.100,425.780
1913.204,-766.160,281.576
1623.332,-769.576,315.736
1331.020,-768.600,416.020
1161.440,-718.580,333.304
882.060,-649.528,224.480
450.180,-513.620,178.852
164.212,-415.288,171.532
81.496,-321.104,133.956
49.044,-163.724,-15.128
48.312,-70.760,-115.168
-21.716,-28.304,-114.680
43.188,51.240,-186.660
115.900,100.040,-197.640
203.008,100.040,-129.564
412.360,99.064,-104.920
698.084,104.188,-128.100
909.144,65.392,-77.348
951.600,87.108,-42.944
964.532,101.748,-73.200
852.048,138.836,-161.284
975.756,144.936,-192.516
1111.908,96.380,-165.432
1138.016,300.608,87.840
1132.160,294.996,40.016
1064.816,342.576,-127.612
947.940,463.112,-267.424
931.348,504.592,-262.544
1000.400,592.188,-218.868
951.112,591.456,-156.892
867.420,659.532,-84.912
799.344,674.904,-149.572
704.428,660.508,-109.800
782.020,763.720,-137.616
820.084,685.396,-179.584
677.832,750.300,-73.688
505.324,781.288,-14.396
491.660,812.032,-54.656
634.400,900.848,-219.844
512.888,841.312,-172.508
337.940,798.856,-45.140
377.468,894.748,-65.636
383.812,919.636,-93.940
213.012,926.468,-54.900
99.308,997.228,-36.844
208.132,983.564,-103.212
183.000,976.000,-71.736
85.400,954.040,4.636
29.280,919.148,27.328
66.856,956.480,-9.760
54.412,947.452,-32.208
24.400,976.732,-23.180
-3.416,988.444,-19.764
26.596,993.812,-69.540
39.040,974.292,-101.504
1.708,968.436,-72.956
-26.352,971.608,-49.532
-7.564,990.884,-74.420
-30.744,1000.156,-73.444
28.060,982.100,-84.424
31.476,996.740,-70.272
15.616,1020.164,-106.872
-17.568,1011.380,-104.432
-4.148,1015.772,-111.020
-12.200,985.028,-61.976
104.920,986.248,-101.748
105.652,962.092,-102.968
70.516,960.628,-22.448
32.208,946.964,-0.488
56.608,985.760,-80.032
80.764,964.776,-137.372
46.360,968.924,-97.600
58.316,992.592,-104.188
24.400,980.392,-73.200
40.260,981.368,-71.248
68.320,992.836,-96.136
26.108,972.096,-46.116
34.404,996.008,-94.428
41.236,1004.792,-143.716
10.248,991.372,-106.628
53.680,996.740,-122.732
62.464,981.856,-107.360
65.392,971.364,-76.128
101.992,1011.868,-109.312
73.444,997.716,-95.892
83.936,994.300,-102.480
88.816,994.544,-121.756
89.304,989.908,-136.396
86.132,989.908,-141.276
85.156,980.148,-125.172
63.928,950.868,-81.008
66.124,950.624,-64.904
83.204,961.604,-91.256
96.136,978.928,-126.880
97.600,988.200,-142.984
71.004,983.564,-117.364
68.564,980.880,-111.020
75.884,972.828,-128.832
80.032,975.268,-152.012
82.472,985.516,-170.312
65.636,997.960,-166.164
56.608,993.324,-138.836
73.932,986.248,-128.832
99.064,988.200,-149.816
91.256,997.472,-139.080
88.572,999.180,-125.660
88.572,992.592,-121.756
