acc_x[mg],acc_y[mg],acc_z[mg]
-174.948,979.172,23.912
-198.616,972.096,41.236
-148.840,1004.792,-25.864
-112.972,997.960,-65.636
-146.644,972.584,-34.160
-150.060,959.896,-22.448
-141.520,967.948,-21.472
-124.928,971.852,-34.648
-158.112,972.584,-9.516
-191.296,995.520,-7.076
-189.832,988.688,-10.248
-184.952,974.292,-7.320
-168.360,966.728,-13.908
-177.388,973.072,-2.196
-177.388,982.832,-20.496
-172.508,966.728,-28.304
-171.288,959.896,-9.272
-178.852,953.796,-4.880
-173.972,948.672,-7.808
-178.120,952.576,-5.124
-180.316,948.672,10.736
-173.972,955.016,5.612
-181.292,965.996,14.640
-168.360,973.560,3.172
-132.004,984.296,-47.824
-147.864,989.908,-25.132
-129.808,990.640,-35.136
-125.416,981.612,-38.552
-139.324,991.372,-28.060
-137.372,995.520,-32.452
-130.540,983.076,-42.944
-142.252,985.028,-39.284
-168.116,983.320,-3.172
-147.864,970.144,-16.104
-135.908,971.120,-33.184
-159.088,981.612,-15.372
-172.752,966.240,13.420
-158.356,956.236,1.220
-159.332,969.656,-4.392
-168.116,978.196,-6.832
-153.964,972.828,-25.132
-112.728,976.000,-94.916
-131.028,995.032,-101.016
-164.944,979.660,-47.824
-156.160,955.748,-28.060
-151.768,969.412,-33.428
-124.196,991.860,-81.008
-146.400,989.908,-74.664
-172.996,994.056,-53.192
-165.188,979.416,-46.116
-172.020,967.704,-26.596
-185.928,963.556,-15.616
-180.804,961.116,-27.328
-171.776,966.240,-50.996
-180.316,967.460,-45.140
-159.576,969.168,-64.172
-157.868,964.044,-67.100
-155.916,961.360,-63.928
-149.084,974.536,-77.592
-172.264,978.440,-58.072
-158.844,978.440,-58.072
-129.320,982.344,-97.112
-156.648,974.292,-68.808
-159.088,973.072,-40.992
-145.424,976.976,-66.612
-168.604,973.560,-51.240
-177.632,970.144,-23.424
-160.796,971.120,-39.528
-179.828,970.632,-17.324
-182.756,969.656,-12.200
-173.484,972.828,-13.908
-149.084,984.052,-39.528
-144.204,995.520,-49.288
-141.032,999.180,-53.192
-142.496,1004.792,-68.320
-158.600,1004.060,-62.220
-188.368,990.396,-53.436
-183.976,989.420,-74.420
-190.564,993.080,-78.324
-218.624,1006.012,-71.492
-213.988,1004.304,-78.324
-223.260,990.152,-47.824
-250.100,986.004,-32.940
-283.040,985.272,-54.656
-346.724,1012.112,-111.020
-431.636,1057.984,-169.580
-527.040,1096.292,-227.408
-512.644,1114.836,-292.068
-642.208,1127.524,-335.744
-631.472,1052.372,-311.832
-511.180,893.772,-192.760
-665.388,823.012,-24.400
-996.984,838.140,-138.104
-793.000,413.092,-129.076
-180.316,-42.700,-67.588
-138.104,-283.528,637.572
101.260,-473.360,836.676
843.752,-524.356,112.240
1408.124,-61.244,-483.120
1379.820,-241.804,-190.320
1225.368,-559.980,501.908
1510.848,-653.432,680.272
1581.120,-528.748,455.060
1657.492,-290.604,187.148
1573.800,-300.120,282.308
1439.356,-330.864,399.184
1466.684,-246.440,355.752
1323.944,-115.656,343.552
1388.360,-5.856,289.140
1205.848,74.176,309.636
1135.088,127.124,449.692
1057.008,113.948,553.392
983.320,131.516,613.416
1095.804,137.860,569.496
