acc_x[mg],acc_y[mg],acc_z[mg]
97.844,959.896,-14.396
113.704,973.072,-12.932
123.708,985.760,-14.396
131.516,994.544,-25.864
141.276,996.740,-40.504
138.104,1004.548,-55.876
132.004,1009.184,-50.020
141.764,1009.672,-69.296
127.856,1010.404,-81.984
100.040,1007.720,-49.288
100.040,992.104,-52.216
88.816,977.952,-51.728
95.892,976.976,-49.288
87.108,979.904,-43.188
96.868,982.832,-50.020
93.696,987.712,-39.040
101.016,982.832,-45.628
108.092,981.856,-50.752
102.236,981.856,-46.116
102.724,980.880,-43.188
95.648,978.928,-30.744
111.264,976.976,-34.404
115.168,977.464,-39.528
110.532,980.636,-32.696
112.728,978.684,-44.408
101.504,980.392,-48.068
107.116,985.516,-50.996
101.748,986.248,-52.704
100.528,983.320,-55.388
91.500,979.904,-48.068
99.796,975.024,-46.116
95.404,977.220,-46.604
109.556,986.492,-42.700
114.680,998.204,-45.384
118.584,1001.864,-35.624
115.168,1002.108,-30.500
124.440,996.008,-35.380
123.952,994.544,-41.968
128.588,990.396,-48.556
129.808,989.664,-61.732
111.020,990.396,-47.092
109.556,987.956,-46.116
104.676,985.028,-44.896
104.920,977.464,-38.308
109.800,972.340,-43.920
116.876,974.536,-50.752
122.488,977.708,-52.704
114.924,985.272,-44.896
117.608,983.320,-42.700
109.312,982.588,-40.992
101.992,983.320,-27.328
113.460,983.808,-33.672
120.292,983.320,-35.136
136.152,989.176,-41.236
139.080,990.396,-38.308
143.716,992.348,-48.068
125.904,993.812,-33.672
124.684,995.276,-38.796
112.484,1001.620,-33.672
121.756,999.668,-35.624
117.852,996.984,-37.576
137.128,991.616,-45.140
139.080,996.252,-49.532
139.324,997.228,-33.428
140.544,987.468,-35.380
133.712,981.612,-34.404
119.072,981.124,-14.152
125.416,979.416,-23.180
137.860,980.636,-51.484
138.592,994.788,-47.336
144.692,993.324,-60.268
139.324,988.444,-58.560
131.028,978.928,-52.948
119.560,973.316,-36.600
117.364,968.924,-31.964
118.584,969.412,-37.576
115.168,974.048,-32.452
133.224,986.980,-48.068
140.544,996.984,-52.216
146.888,1001.376,-52.948
139.568,1003.328,-38.796
142.496,1001.620,-38.796
140.544,999.668,-29.768
138.592,991.128,-33.916
138.592,986.248,-37.088
139.080,990.640,-36.844
132.492,995.276,-25.132
122.732,994.544,-27.328
112.484,990.884,-14.152
110.288,987.712,-10.248
125.660,986.248,-21.472
137.372,990.396,-36.356
133.468,992.348,-32.452
132.004,994.300,-36.844
121.512,990.640,-31.964
113.948,985.760,-19.032
115.168,982.344,-18.056
110.044,982.344,-12.932
113.216,982.588,-11.468
113.704,982.832,-14.396
121.512,985.272,-31.232
114.436,990.152,-27.328
114.436,991.616,-28.060
109.312,984.296,-28.792
107.116,981.856,-25.132
107.116,978.440,-20.496
105.652,980.636,-21.228
95.892,979.416,-17.568
96.380,978.928,-28.792
108.092,982.832,-44.896
126.392,992.592,-57.828
125.416,994.056,-58.560
111.996,992.836,-38.064
118.096,983.076,-37.820
108.580,983.320,-25.620
115.656,983.320,-23.668
118.096,983.564,-28.304
131.516,976.244,-49.776
154.452,973.804,-79.788
112.240,991.860,-36.600
88.084,999.668,-12.200
80.032,987.468,-1.464
90.768,973.072,-10.492
118.828,968.192,-40.260
123.952,979.904,-57.828
122.732,995.764,-56.608
116.144,998.936,-58.072
104.676,1001.132,-48.068
111.264,996.008,-47.580
108.336,994.300,-45.872
110.044,990.640,-39.040
101.504,995.764,-28.792
109.556,996.984,-31.964
109.068,998.936,-30.988
114.680,998.936,-41.236
116.144,1005.280,-46.116
109.068,1007.232,-44.896
92.476,1007.476,-37.576
75.396,1009.184,-36.844
68.808,1012.844,-40.504
52.948,1022.848,-38.552
70.516,1028.216,-66.368
18.788,1034.072,-62.220
-25.620,1021.140,-52.216
-64.904,1001.620,-42.700
-178.120,989.908,-32.696
-178.608,975.756,-28.304
-219.112,951.600,-12.200
-187.880,884.744,-39.772
-119.316,826.428,-59.048
-77.104,762.744,-59.048
-78.812,711.748,-60.756
-77.592,612.928,-64.904
-164.700,492.880,16.836
-91.988,346.236,40.016
27.572,143.960,77.836
259.616,-115.168,45.628
650.504,-261.812,20.740
1156.560,-424.804,-74.176
1317.600,-535.092,-10.492
1270.752,-634.156,355.996
1388.360,-765.916,392.596
1482.788,-816.668,308.416
1763.632,-665.876,217.892
1794.864,-546.560,71.004
1533.784,-453.352,47.092
1338.096,-384.788,121.024
1209.508,-370.880,175.924
1179.984,-371.612,206.180
1154.120,-362.096,236.680
1154.852,-333.792,210.328
1214.876,-280.356,159.332
1291.004,-195.444,158.112
1574.776,-107.116,182.756
1910.276,-138.104,193.248
2056.676,-216.916,242.292
2166.720,-223.260,336.476
2268.712,-264.496,379.176
2346.060,-292.800,368.928
2352.160,-325.984,332.816
2235.284,-370.636,248.148
1890.268,-437.980,124.684
1694.336,-422.852,28.304
1404.220,-443.836,67.344
962.092,-507.032,244.000
644.892,-545.096,237.412
443.104,-567.300,222.040
128.100,-416.020,336.720
68.320,-369.416,309.148
57.096,-300.120,167.140
10.248,-195.444,36.844
170.068,-98.820,3.904
187.392,-46.848,-95.160
346.480,2.928,-280.112
543.388,47.336,-356.484
666.608,3.660,-589.260
964.776,15.128,-832.040
1007.232,11.468,-1057.008
926.712,137.616,-1126.792
829.356,181.536,-1123.620
672.952,145.180,-1124.596
669.292,129.564,-1073.844
576.084,81.252,-1023.336
397.232,91.012,-826.184
229.848,33.916,-641.720
132.248,0.976,-483.608
124.196,-49.288,-365.268
42.212,-118.584,-174.948
81.008,-140.788,10.004
10.492,-253.516,235.460
47.824,-199.104,380.884
-40.016,-202.764,519.964
64.660,-164.212,710.528
371.612,-238.876,832.284
635.376,-340.380,993.812
782.020,-384.544,1050.176
855.464,-375.028,1112.396
978.684,-344.528,1224.636
1256.844,-344.284,1121.424
1473.760,-353.800,973.804
1398.120,-386.008,920.856
1465.464,-334.768,951.356
1546.228,-313.052,932.812
1731.424,-457.744,784.948
1783.640,-622.200,542.168
1870.260,-575.596,342.332
1863.428,-507.276,332.328
1793.400,-586.576,96.136
1841.224,-610.000,-192.516
1722.640,-633.668,-462.868
1717.516,-408.700,-515.572
1390.068,-412.848,-556.564
1390.800,-282.796,-658.556
1274.656,-243.756,-651.968
1130.696,-193.492,-604.876
1175.592,-153.232,-632.448
1102.636,-161.772,-578.524
1043.832,-160.308,-493.368
985.272,-164.212,-385.032
838.628,-162.748,-228.140
864.004,-160.308,-165.676
901.336,-181.780,-109.068
1002.840,-174.216,-115.656
