acc_x[mg],acc_y[mg],acc_z[mg]
-91.500,981.856,-93.452
-102.724,985.272,-84.424
-89.548,981.856,-84.668
-93.940,974.536,-91.744
-103.212,985.028,-106.140
-105.164,987.468,-102.480
-107.848,986.736,-94.916
-76.616,984.296,-106.628
-94.672,977.464,-77.592
-107.116,978.440,-73.444
-103.212,978.440,-91.744
-105.896,980.392,-106.872
-103.944,978.928,-110.776
-104.676,976.976,-104.188
-113.704,977.708,-92.964
-101.016,976.732,-98.332
-96.624,980.636,-111.020
-96.624,988.444,-103.212
-88.816,981.124,-85.644
-88.572,976.976,-83.936
-84.912,988.688,-96.868
-88.084,984.052,-92.232
-98.332,979.172,-90.280
-94.672,977.464,-105.652
-108.092,976.976,-96.624
-110.044,977.464,-90.280
-91.744,967.216,-104.920
-100.284,964.044,-88.328
-104.676,971.364,-91.744
-114.924,978.440,-91.500
-106.628,986.004,-95.404
-79.056,990.396,-106.872
-95.404,984.784,-69.784
-85.156,984.296,-73.200
-56.608,990.396,-88.572
-63.684,993.568,-98.576
-73.932,983.808,-107.848
-89.548,987.224,-98.088
-85.644,986.736,-103.700
-93.940,976.244,-81.740
-103.212,967.704,-69.052
-106.140,973.560,-81.496
-105.652,976.000,-96.380
-105.408,974.292,-87.596
-102.236,969.168,-79.544
-94.184,968.192,-84.424
-74.176,972.828,-108.336
-81.984,978.684,-119.316
-101.748,982.588,-108.824
-90.524,979.416,-105.896
-94.672,977.952,-101.504
-105.164,983.320,-106.628
-92.964,988.444,-115.900
-88.328,983.320,-104.432
-96.380,978.684,-78.568
-81.984,978.440,-74.176
-78.568,978.684,-87.108
-81.008,981.612,-96.380
-80.520,986.492,-96.868
-92.720,988.932,-103.456
-94.672,981.612,-110.044
-102.968,984.540,-114.436
-101.504,979.904,-124.684
-102.968,986.736,-116.388
-96.380,979.416,-115.656
-102.236,979.172,-109.556
-105.408,986.980,-101.016
-111.264,987.224,-81.008
-108.336,990.152,-83.692
-104.676,993.568,-89.548
-117.608,1010.160,-88.084
-104.920,1014.308,-78.812
-121.268,1021.384,-76.128
-147.132,1017.236,-78.568
-236.924,1017.236,-61.244
-368.928,1010.404,-51.728
-391.620,1062.620,-174.216
-534.604,1164.856,-235.460
-650.748,1128.988,-397.476
-980.148,1061.888,-312.808
-735.172,608.780,12.932
204.472,313.540,315.980
822.768,312.564,372.100
1150.704,368.440,159.332
1341.756,570.716,-133.712
996.496,494.832,-82.228
784.948,374.784,250.588
807.640,330.132,237.900
1123.864,305.244,34.648
1167.540,214.232,160.552
1036.268,225.944,303.048
1056.276,263.764,236.680
934.764,265.960,233.996
1066.524,294.020,164.456
929.152,287.920,188.612
782.508,292.800,249.612
839.604,307.440,185.440
761.280,302.560,142.740
695.156,339.892,155.916
703.452,349.652,84.668
709.308,308.660,68.564
731.756,309.392,68.808
720.044,276.696,22.448
477.020,213.744,117.852
573.156,255.468,137.616
548.512,199.836,152.500
635.376,176.900,138.348
617.564,169.092,116.632
658.068,140.300,124.196
758.840,105.164,43.676
778.604,46.604,-53.436
752.008,38.064,-31.476
756.644,2.196,15.128
