# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
144.48447,983.1238,8.91763
148.67946,996.3243,13.469995
146.2152,991.3539,14.275586
140.96373,990.907,5.160252
150.72202,990.0589,16.563128
144.38637,987.98413,3.8176286
145.05482,983.56134,15.86863
145.22488,991.4574,10.019471
143.52121,987.9529,12.462943
142.16632,989.6705,9.112966
136.25987,988.7021,3.6686256
148.24443,991.02844,10.299426
138.51889,985.6862,14.941029
144.97453,984.21655,11.816767
144.81343,982.7148,15.333283
137.59714,995.0744,13.944396
140.47107,989.48,9.664197
141.3461,988.5646,12.758539
144.37274,978.4813,8.803178
152.77507,993.801,9.859603
149.52484,996.8248,1.5899663
144.29121,984.3107,7.1402125
141.31212,990.22296,5.189029
139.96016,992.198,14.328803
141.65927,985.76556,9.800109
144.93353,984.10364,15.820248
142.25775,988.8305,6.696746
140.55719,987.0807,16.79437
149.65788,992.03406,3.518809
143.88092,986.4175,0.6172567
141.26013,984.96893,5.587355
148.68552,988.821,10.103959
150.04619,990.1895,7.2778025
139.24089,991.8217,8.416431
142.9346,995.0545,6.2168365
138.95493,987.5597,0.5332948
135.74907,985.93176,14.586224
141.21191,978.81384,13.126707
149.66354,987.66284,3.6754348
147.37804,987.64703,-0.7307772
148.39635,992.50543,14.589836
140.90973,982.7523,22.49987
152.03995,996.41504,14.050491
139.64798,989.5045,6.429763
147.05118,983.63293,12.519743
148.86353,991.5246,14.993597
146.64091,991.1366,7.022874
141.14717,989.5631,13.2953
146.75772,991.2143,9.021942
139.92958,993.2496,14.161995
141.48273,983.38354,8.894181
147.09993,987.8577,14.956139
150.9574,988.97485,22.004543
142.10008,999.92267,16.219742
146.53375,993.9279,13.281033
145.28426,984.55786,18.093237
144.90251,975.92645,18.133287
150.59311,992.23456,5.790757
149.84932,995.77454,6.626104
139.75438,988.3019,5.3058844
144.32864,992.9026,5.6989465
146.7798,991.5274,13.73407
152.56705,992.7036,5.5909195
135.9949,980.44916,14.249076
140.06314,987.02026,-2.1407173
151.0279,995.2169,10.278343
139.46251,992.3534,2.63846
141.06465,988.46515,12.829951
146.42584,990.2641,15.616955
138.0792,983.4608,14.303484
143.90836,990.3581,9.272557
143.6921,985.6029,9.660414
142.58325,990.0499,16.472155
