# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
-846.03534,318.21255,119.35533
-1138.5496,178.70572,-20.750765
-826.3088,248.98912,-52.373432
-795.70685,267.50464,-97.08416
-622.48395,164.54309,-6.3171287
-513.5873,131.9844,8.0958395
-447.05383,30.389744,8.622351
-449.9625,149.4773,64.620735
-465.6942,126.63991,122.67772
-566.6994,351.91394,224.57007
-653.294,358.93866,341.87262
-774.8603,600.25024,333.04865
-1470.0645,344.35925,274.6831
-2450.2314,1613.789,724.9776
-1422.1189,1439.7406,593.91956
-1217.1531,628.97595,395.4649
-892.7652,633.91284,233.0631
-631.1866,20.609438,173.39818
-412.23685,417.5517,202.88109
-197.64568,409.92636,208.66768
-165.17546,636.4252,222.52136
-244.12494,545.8457,204.29407
-536.7366,561.92487,244.05852
-948.16266,373.5219,285.92166
-1157.9086,227.15674,297.62753
-1482.4935,130.26697,290.50418
-1718.093,323.16312,412.11047
-1918.3751,335.66486,423.94815
-1516.0413,286.99353,355.16705
-1189.497,258.1729,314.19803
-737.54126,218.24693,316.80746
-473.35208,203.18428,269.3894
-237.78967,219.00693,172.94994
-249.35547,197.4064,126.56894
-342.24255,204.40614,40.41612
-502.3371,241.09901,28.609573
-593.904,335.48734,72.24696
-736.16797,428.26294,162.2819
-1176.4303,526.85,274.55984
-1943.288,792.1874,530.646
-1956.6753,860.0562,976.1586
-1216.7234,594.17487,780.5164
-1120.4862,358.9517,558.8381
-844.31244,80.65898,462.99908
-501.68942,326.27716,363.2548
-341.22095,418.37793,321.8966
-361.7835,511.2594,299.74588
-393.66412,393.97568,284.5973
-518.5002,402.4279,234.44492
-677.40155,330.2544,215.18112
-805.9915,321.26755,217.10046
-865.77344,246.4034,219.53883
-1164.7684,241.50255,200.19638
-1464.4973,249.23137,291.29636
-1680.6854,391.62387,347.39133
-1657.6644,436.52444,331.3437
-1385.0568,447.1244,281.6813
-1053.8134,376.37292,270.12775
-730.03723,382.53497,274.83884
-564.63306,365.9964,243.75479
-435.12204,285.49643,171.73883
-401.72824,227.15465,93.31109
-426.72827,225.50153,-17.349834
-498.43564,319.19327,-6.727053
-710.9416,513.9344,120.03722
-864.5915,562.75854,304.33844
-1268.3152,653.5008,373.5133
-1826.8167,769.5898,701.3112
-1524.2775,731.9483,842.7953
-1264.6615,635.9485,572.64465
-1254.6162,366.71506,528.88794
-1030.8721,250.6494,474.44223
-866.21063,255.10435,386.43738
-628.7693,235.98027,272.71838
-433.0058,189.2238,191.93913
-392.99442,271.59027,123.38839
-510.62726,283.64062,106.68919
-651.7425,304.31,58.30632
-782.3637,294.84183,116.252014
-1019.85913,416.63757,178.05945
-1290.6415,478.9876,256.2094
-1550.4506,507.571,363.26068
-1449.7996,381.25034,337.05167
-1287.9384,359.8931,268.14514
-1026.3759,353.17838,318.88177
-755.3518,398.3705,316.81128
-572.5681,414.79446,237.6775
-403.93655,362.66714,135.01959
-445.01785,342.00156,115.909035
-606.85974,384.18417,101.113014
-911.7577,421.47986,97.63683
-1502.5297,470.96252,-23.95667
-1813.6115,635.66376,140.65189
-1619.2837,990.2159,812.0002
-1118.6857,661.9699,841.15875
-1023.79364,725.75415,533.6913
-887.80316,430.6803,434.1388
-508.7235,-51.10911,345.51407
-330.1213,247.72266,434.34564
-392.93323,370.11826,520.0529
-431.54987,325.04648,409.66238
-617.0898,126.73311,262.47473
-720.4113,147.62566,232.42523
-824.08856,262.89493,324.665
-1037.3406,410.73688,332.6047
-1331.1725,304.038,253.26398
-1632.5804,413.02817,349.97647
-1420.71,369.54782,355.93372
-1149.3403,425.51035,319.7113
-1037.7758,443.79803,393.95425
-931.51984,586.437,333.70398
-707.6506,400.45807,209.65437
-557.55524,322.762,180.94496
-476.2544,378.92688,130.38693
-549.9391,400.37027,117.74777
-659.75073,444.96878,83.50845
-707.19507,465.66595,151.89258
-833.16125,409.4232,171.06558
-1651.2646,333.34045,144.29138
-1855.5817,434.9885,363.0802
-1532.9072,478.14365,815.8101
-1222.2477,403.472,886.46185
-996.5552,305.5161,669.89716
-646.78784,-126.796455,497.5151
-342.398,39.281944,422.23184
-398.4943,256.2485,436.33075
-443.2218,255.54625,405.56027
-575.2885,195.89877,359.9465
-694.0925,339.6092,371.73886
-996.14825,373.94952,401.37576
-1142.3936,357.05795,399.76553
-1296.7533,319.6422,384.22565
-1425.7578,444.8107,380.1802
-1322.0614,532.708,459.99216
-843.5984,399.67914,303.6414
-753.44904,238.8501,217.86641
-1026.9125,161.96947,174.92924
-1206.5043,151.90776,57.31229
-1084.521,328.1944,82.88931
-934.7314,454.84344,185.26321
-728.15497,441.43286,194.50693
-626.6225,348.81656,157.6116
-567.9629,344.6031,175.57916
-526.32007,302.4003,176.82588
-458.5684,362.5881,165.05667
-585.27484,462.73666,202.15909
-727.59784,506.69052,234.21675
-933.7057,470.69617,289.85004
-1163.0684,425.34406,303.60025
-1528.9785,365.1245,307.2932
-1271.6351,333.18497,316.73907
-1088.4905,260.32602,304.3056
-1203.5765,230.45317,316.51376
-1091.95,225.05379,312.17075
-734.60754,282.78683,212.81827
-536.3722,343.73987,224.55496
-414.90695,349.8427,223.94481
-426.84048,407.62814,221.52194
-479.76102,484.79727,271.69638
-522.4519,466.2577,352.83472
-572.00024,450.74573,435.85675
-606.953,379.0199,453.8162
-600.69855,247.76756,394.92084
-613.0902,209.79044,322.07788
-732.18164,297.42227,383.96085
-1145.3086,322.72156,455.4752
-1582.279,333.88446,455.31573
-1698.1251,265.90985,396.96075
-1534.4384,203.02084,260.70828
-1316.3693,193.26561,226.73271
-1050.4622,300.51688,198.07959
-682.8172,309.3745,185.02597
-468.04236,299.86758,171.05423
-382.3162,276.5834,167.30212
-351.04953,238.70308,151.50098
-360.34097,238.79744,124.28839
-626.5376,340.0712,158.92712
-714.3445,360.45673,232.32527
-829.0182,403.3655,319.20932
-1080.8165,511.08444,351.4761
-1914.5168,827.3796,594.55084
-1623.6918,697.46155,717.275
-1203.004,619.4752,543.1468
-1202.1399,500.30325,650.35394
-724.47174,221.83878,510.5791
-421.55496,285.30292,342.4721
-318.57266,332.4037,299.4671
-323.84274,159.15562,287.2895
-290.48798,224.4219,217.00868
-427.4304,402.14148,171.61377
-623.33093,447.56683,205.64194
-1007.7407,384.92715,113.16878
-1414.1517,426.53174,104.714355
-1619.8014,595.14594,278.19046
-1444.144,471.7927,230.14267
-1380.0999,453.24518,233.82854
-1163.4662,388.67026,329.77588
-922.3321,491.84326,346.5091
-566.87964,424.884,274.55612
-360.78543,292.85468,209.83112
-324.99957,225.8415,202.6941
-415.9003,197.30518,166.56018
-500.32053,325.97272,213.23637
-781.0383,413.78247,240.75536
-1211.6643,544.15936,201.0725
