# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
-784.8951,1201.679,307.13303
-197.77437,884.66986,416.7202
-256.57147,1497.7253,279.51212
-182.53279,1702.1776,332.31143
-261.55124,1264.131,385.91165
-186.82985,740.5849,460.86224
-265.74408,705.4112,490.81104
-351.09372,847.2423,494.33145
-744.76227,1168.4083,439.45673
-1015.5883,1049.6063,284.3855
-968.6003,659.00665,211.737
-814.1418,531.067,252.44429
-708.5258,389.7219,77.685
-460.2992,-28.07184,-9.072446
-585.8999,-145.99046,19.87517
-683.5554,317.8225,34.15998
-1847.5109,1280.1577,191.40242
-2242.5657,1498.0809,52.05286
-1164.242,2034.4889,186.51675
-316.4689,1300.7103,-75.76495
228.09311,378.91934,-207.19571
419.4303,391.87885,-109.604774
474.36774,620.5338,-117.47217
520.00287,538.80023,-28.997477
289.9767,893.69745,43.47341
-232.77162,2385.5938,66.1864
-2093.758,3668.2651,-373.47516
-1948.7177,1931.7357,-402.9117
-1201.9219,789.39154,-244.56068
-911.29443,422.71793,-222.8783
-676.4973,-125.05493,-166.65714
-679.6364,-583.20825,-344.40375
-688.8865,-867.80963,-356.42407
-852.8988,-509.83365,-126.96749
-917.36633,309.18423,-36.831394
-1959.2842,1967.9753,147.28288
-1584.1771,2847.0015,130.94218
-635.25494,1684.8325,3.9480124
-90.98554,1045.8948,3.86472
258.30096,897.17755,-52.498764
637.42706,532.4111,-90.77955
813.60034,147.07288,-24.500854
703.295,321.46884,9.083826
531.56775,647.0357,12.906255
156.1666,2514.167,-67.86653
-937.156,3666.6807,-280.15604
-1244.6139,2558.4763,-141.06725
-1070.8044,1543.2845,-88.83312
-1027.5264,823.4741,-47.011696
-844.12787,94.23547,-124.73791
-857.7989,-469.44046,-139.02368
-919.0025,-795.23047,-306.0748
-986.9694,-753.63416,-210.54768
-1128.487,95.1676,-83.848114
-1713.3778,1530.2158,98.89308
-1636.7532,2862.0735,224.9143
-1016.3174,2449.3145,121.615005
-391.93317,1543.0756,86.95196
-62.730145,1193.6625,64.75084
302.55353,926.57605,-13.198199
655.28986,484.0415,-62.09135
936.12714,289.23398,-15.742784
823.5891,456.93427,6.2310433
675.13586,835.4769,-65.53201
12.464708,2815.5117,-272.6538
-1356.6376,3928.3098,-370.2887
-1618.5605,2601.252,-234.93002
-1486.4677,1397.1134,-124.555374
-1220.1334,725.81335,-88.561424
-874.2177,182.86061,-158.71255
-820.7225,-354.55045,-213.64235
-862.583,-745.3614,-356.0847
-924.5429,-895.30493,-319.6755
-970.28925,-287.5921,-117.544945
-1377.3384,639.971,120.90563
-2038.081,2551.2646,440.97507
-1463.199,2904.9539,391.6462
-692.18884,1674.7903,238.46722
-263.03552,1082.0037,85.08234
-13.4154415,1130.0593,-10.983
333.57437,888.625,-67.31858
633.61554,557.77185,-100.71303
850.0965,459.79303,-94.89306
759.15875,608.526,-79.347984
494.11465,1477.5862,-237.46066
-508.6387,3307.7058,-554.21796
-1351.9131,3442.7896,-468.80356
-1390.6436,1943.4042,-308.418
-1250.4587,1022.32904,-176.60432
-818.19696,548.3728,-105.13407
-594.83826,84.9007,-170.39178
-779.3856,-327.29456,-298.6149
-952.50055,-739.4564,-448.52786
-1068.4445,-641.6993,-249.7789
-1046.0057,-139.7515,-87.827126
-1567.7618,718.27344,199.79889
-2058.9504,2474.1487,567.32263
-1452.7372,2825.9746,403.4151
-650.5078,1698.0148,241.05235
-233.18636,1197.0377,76.37752
171.88611,1214.5392,-8.4148035
502.22522,909.873,-108.437836
870.5489,443.80334,-153.77267
964.134,446.68585,-78.56914
760.17004,735.9576,-5.633709
150.74146,1997.2452,-202.1226
-895.2999,3538.3677,-373.12003
-1307.3164,2883.5925,-283.1572
-1368.7089,1922.6302,-216.29057
-1292.8975,972.6313,-270.61642
-819.90753,284.21677,-234.55263
-670.06116,-159.54546,-285.38086
-832.4811,-522.2485,-291.10568
-1007.56586,-671.5273,-359.58334
-1004.28357,-494.29617,-166.52997
-1050.871,215.8738,-18.075851
-1641.5975,1760.0743,182.1283
-1418.535,3057.4539,277.2538
-739.2805,2343.2268,269.15195
-350.2741,1441.9973,131.20435
8.721315,1088.5239,23.923573
304.63208,981.7243,-46.71365
589.49347,629.3306,-85.29845
823.9211,355.47137,-81.97764
813.7261,460.96405,-27.813854
478.78806,1408.06,-103.01264
-328.57397,3292.3774,-465.55725
-1428.641,3608.2478,-393.751
-1430.865,1994.9763,-188.59091
-1232.9885,933.4084,-182.00458
-1096.6552,316.6956,-193.5666
-828.8344,-175.49245,-262.66904
-833.0967,-596.79297,-144.84874
-900.3236,-858.7894,-246.81589
-921.0449,-672.1303,-132.1724
-842.0205,74.73807,57.489525
-1480.8348,2019.265,377.27194
-1424.5381,2821.0364,488.21893
-636.92346,2162.4812,319.80853
-301.69653,1706.6432,314.7238
-119.5695,1114.0302,179.69833
93.05149,683.5795,38.77495
321.4188,503.99185,1.5644939
476.40073,379.87332,22.30213
610.2889,269.68515,39.950253
416.0659,799.75726,129.9502
37.055668,2139.5073,198.84415
-1374.381,3473.1665,-90.665565
-1683.874,2368.8523,-153.12965
-1194.5254,1127.4581,29.880611
-1042.025,624.4346,-89.32721
-774.67224,134.9694,-129.88846
-832.6703,-171.11964,-159.22035
-772.5318,-632.6424,-278.171
-848.87915,-792.0096,-309.70062
-846.56757,-319.23163,-94.87485
-1310.4126,1079.0057,90.1877
-1666.2418,2295.7437,403.23993
-1126.3702,2356.2957,282.02167
-509.58752,1649.744,229.38367
-188.80113,1105.9996,193.53223
15.309466,867.2413,91.88443
282.90598,663.7521,47.556625
504.5358,382.11118,23.300465
671.259,328.02557,41.52103
626.2146,507.40448,83.42204
400.00665,1588.3103,120.772095
-751.06714,3323.5327,-176.30179
-1628.4281,2961.5022,-208.23122
-1181.668,1483.8124,9.98224
-1069.3657,745.0838,-11.043501
-774.7763,260.1264,-75.519646
-744.21844,-77.58998,-144.9515
-810.4782,-446.424,-291.9389
-1048.1812,-768.1928,-371.67548
-939.2324,-434.4047,-205.13887
-1388.4023,769.68665,-5.666067
-1666.0989,2494.1912,121.10223
-824.09894,2343.7524,153.37288
-416.32312,1669.1888,107.112366
13.469552,1275.0704,-6.2138743
307.3546,991.3212,-36.63382
601.4675,706.2167,-67.640236
777.9877,355.0129,7.504535
681.5708,459.16986,22.190527
573.6587,861.0713,7.606641
62.012352,2571.9543,-203.161
-957.1904,3527.147,-377.91284
-1102.0033,2318.4956,-217.23119
-1050.6351,1207.4078,-76.49505
-920.5712,559.8743,-81.534134
-805.6423,31.600107,-152.73871
-895.0789,-405.21185,-255.29044
-1155.4126,-681.49194,-342.53275
-1120.3146,-418.2039,-188.39563
-949.85394,271.51297,-1.9571754
-1273.3895,1889.9976,420.4326
-1081.8634,2969.8423,488.80118
-506.05402,2182.4604,283.65146
-113.4826,1461.9694,258.30182
157.9165,958.9957,77.8457
499.73508,747.64386,-23.065485
793.07263,406.39795,-38.942963
948.60736,317.34415,11.903794
782.017,564.5148,86.87602
461.73193,2074.044,216.20157
-792.7996,3847.7063,-42.173798
-1407.5752,2615.9553,-100.82949
-905.5003,1349.6055,-44.68787
-894.65283,891.7596,-124.46422
-633.36694,183.97458,-212.58632
-740.9973,-360.05402,-266.6377
-932.9753,-653.7261,-331.72122
-1167.7036,-528.1004,-262.4488
-1236.4653,267.22604,-169.08272
-1875.8337,2316.9148,117.39447
-1239.5135,2924.3018,290.01694
-389.99448,1767.0773,258.7999
121.44395,1229.7599,164.83134
307.49326,1017.5747,118.352516
603.0511,584.0683,46.185944
730.56683,137.4847,55.702255
680.7009,354.87186,73.776566
487.5887,616.653,151.36931
224.27144,2178.795,189.49205
-989.4691,3729.497,-45.34485
-1031.062,2117.2576,-43.592983
-722.2342,1451.435,57.695526
-906.6906,1062.0422,-43.221874
-689.1274,360.63852,-152.30244
-645.913,-63.940952,-195.75797
-845.88837,-287.67548,-180.43651
-1005.83545,-453.0858,-238.4091
-974.7263,-362.80743,-85.15601
-1196.404,575.99994,70.25705
-1388.2002,1897.009,389.40054
-996.0202,2545.6853,447.16702
-582.6525,1951.1229,282.67056
-307.52307,1290.3424,135.25887
-107.21779,1141.5083,80.94395
185.85835,879.99365,18.351357
569.10486,406.99936,-62.402676
809.96375,391.23788,-58.236824
768.5744,601.5087,-41.336796
533.2727,1413.3672,106.78346
-381.9243,3036.6855,-0.7853578
-1093.6443,2935.7786,90.32594
-1163.762,2101.9065,227.72006
-1246.89,1194.2584,27.656597
-987.7768,421.7855,-84.476616
-825.4797,53.038074,-169.45784
-759.4213,-294.20044,-275.9844
-873.0869,-530.35754,-301.38757
-872.92725,-374.2592,-163.47137
-940.14014,10.304468,13.973092
-1330.6337,1080.8892,286.37476
-1421.8684,2354.7078,498.35574
-1003.6218,2225.9883,367.51697
-594.5378,1405.862,202.76791
-330.77502,1269.9109,183.6611
-14.025823,1144.8314,116.853325
357.50992,643.16815,72.15942
627.44336,304.89407,-19.59102
730.8816,304.67917,25.48738
632.4293,407.0458,-7.4283876
360.93048,1436.4011,126.47329
-567.2705,3260.776,33.260155
-1031.8499,2959.0278,-59.665676
-1176.6277,2280.9248,78.311
-1182.4857,1140.7902,-64.38017
-958.8783,353.8998,-125.39952
-814.5511,6.872927,-196.11674
-853.9854,-147.58093,-188.75702
-949.7932,-342.83496,-257.04654
-1025.9788,-498.12906,-205.38902
-884.4548,-234.41167,-78.172
-1184.0857,708.1032,288.87372
-1718.0394,2805.82,719.38885
-1218.3265,2661.3743,507.8638
-475.1972,1659.4453,426.75824
-108.85627,1312.1761,288.66882
188.64276,873.8022,119.89084
497.26294,604.80963,15.933612
710.6872,364.1737,-8.588219
716.4038,377.84216,-30.309578
559.0653,801.4048,171.67259
71.57967,2342.6736,267.5666
-1125.9379,3423.6455,100.408676
-1323.2405,2388.5566,257.43597
-1119.536,1401.5612,170.99579
-1122.091,782.83496,-10.112091
-813.64166,246.62231,-163.14613
-821.3481,-120.88383,-269.47437
