# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
-370.4386,486.37006,777.3696
-199.91257,572.75006,781.8382
-247.52995,622.26843,673.0853
-293.7439,454.5295,786.9112
-161.51772,553.7951,852.89667
-374.89166,556.0163,773.1834
-299.5085,578.3696,838.13763
-197.1804,498.79782,857.0605
-235.58429,590.0889,828.54724
-338.8992,500.74884,700.5472
-281.9162,478.75278,757.61865
-304.44113,560.58923,760.1223
-287.90448,521.29083,804.1796
-206.3698,514.3293,735.9579
-173.65834,685.1576,834.1741
-408.5069,574.5407,817.54944
-209.746,502.50754,805.2062
-145.71056,688.0998,844.981
-213.95355,568.2747,797.59863
-228.12228,533.79767,827.51654
-155.71274,643.85205,846.58496
-262.99002,536.6103,807.7157
-162.0487,502.18613,751.39954
-247.7782,658.7858,843.26
-339.6108,542.9311,833.26355
-152.87048,568.37134,833.1328
-220.4617,623.13696,886.5959
-219.4538,460.27316,782.87396
-186.15378,615.3975,884.4857
-280.27078,414.59805,825.8465
-310.0607,552.8088,855.68665
-432.74176,499.7766,842.8911
-210.33406,472.8689,757.9159
-225.28082,562.0595,864.8152
-267.24295,492.30792,871.1226
-275.90994,504.5973,890.35223
-259.28616,506.65326,850.9404
-300.12222,462.68652,769.18115
-363.41873,437.804,845.818
-279.61234,358.31482,764.3617
-312.31186,550.63763,877.92114
-324.33136,361.41656,774.3991
-255.80666,464.86874,877.77673
-276.84058,475.54462,781.2448
-282.8979,479.68372,829.4036
-379.71094,424.61572,760.7451
-186.07156,455.20108,881.27094
-426.83942,638.0756,804.24506
-275.92105,360.0546,674.8454
-175.55128,552.0577,845.7831
-260.80103,536.9416,950.7044
-284.6148,473.18243,775.78723
-115.91604,538.7831,910.61847
-209.54646,513.2734,808.7675
-295.91098,531.95856,852.84796
-276.57703,544.8387,793.3062
-89.87806,561.4799,914.29517
-333.74365,579.53876,788.8832
-257.75696,484.23935,777.4887
-210.03741,606.4276,818.4105
-140.24463,512.0618,857.6076
-286.44058,527.2574,758.8729
-256.88354,521.3578,874.50555
-444.06015,519.0578,713.223
-164.52934,401.46994,791.8996
-360.93317,553.31195,790.71454
96.4468,314.46927,608.804
-339.542,707.84265,802.38873
-400.8319,447.68002,954.7806
-1064.2191,732.79346,1163.4528
97.60965,-151.192,230.90848
372.81232,1243.6912,1233.9285
-652.94147,548.90765,532.3761
-48.157482,368.3714,945.82574
-640.1094,501.8257,610.1699
118.23327,353.42972,709.9896
5.270324,823.82227,809.3169
-398.0219,778.35406,941.7104
-1064.7948,143.20445,638.9912
39.740204,453.80188,1066.3691
-75.03694,1142.1116,1129.9224
-318.59146,52.899094,531.4412
-417.88007,668.5198,589.3952
-582.897,207.33736,309.626
-454.99146,497.82227,791.3846
-533.67584,489.8881,1023.17755
62.460407,641.4439,1084.004
-362.99243,680.1283,858.80634
-206.34308,354.78134,700.5509
-536.6673,611.1594,744.3475
-414.356,301.21454,649.53265
-206.26955,590.9024,872.52155
-226.44324,556.41315,838.10925
-312.30264,718.8292,927.7793
-618.4619,539.17474,689.3826
-68.330574,368.9708,816.10846
-433.1947,733.361,739.12085
-219.15025,289.60858,710.23157
-531.1135,647.46875,778.86426
-185.83296,284.3664,584.572
-237.28784,871.3376,1001.95935
-423.88916,343.01852,692.9717
-385.23767,748.6318,922.22363
-471.0645,348.53497,688.0064
149.5224,370.20154,745.593
-612.45044,805.39044,663.30865
-383.52972,192.56615,656.7738
-251.84126,546.99976,828.51056
-58.157314,613.4699,838.2671
-18.587946,506.65466,853.5109
-399.73755,825.48047,932.15515
-328.23923,392.17245,587.81714
78.87648,651.20636,916.1688
-429.5791,756.641,866.72736
-36.69316,376.93616,683.0562
-234.39581,614.7156,786.14355
-322.13477,526.20734,712.17975
-488.42618,504.19586,707.4547
59.94921,474.8388,784.29297
-389.60208,863.4632,954.30615
-300.66733,248.69574,532.00397
-531.71234,784.95654,938.75256
60.00687,406.66534,673.3077
-343.53168,841.6412,954.77246
-245.93669,421.80377,607.4758
-67.73331,745.70264,773.5039
-494.13913,583.3412,641.4758
-293.22928,560.0973,859.2195
-215.09323,499.4864,700.04474
-224.37665,704.7102,940.5492
-342.63638,472.34805,691.62836
-94.177795,571.0304,806.97107
-368.3995,736.8302,851.1442
-342.5753,491.57825,677.5194
-183.53716,532.82434,783.4698
-218.68024,716.355,718.4312
-405.9703,518.503,680.1373
-240.13889,328.65158,700.5292
-283.37534,814.0646,825.2725
-239.49829,563.3151,754.7267
-97.06199,598.7348,760.6213
-194.33923,744.6725,879.0754
-285.0103,477.1886,738.9771
-206.37912,634.9167,757.1201
130.71599,461.26175,707.1659
-167.22075,789.70703,912.82245
-309.18906,420.7199,676.08386
-112.243164,688.475,877.8869
-373.0142,629.8114,725.9475
-250.6833,559.5626,879.9767
-267.56598,473.08408,685.52905
-92.424484,664.41864,879.3864
-440.98212,480.5965,735.01996
-73.16937,328.39496,727.68536
-311.6214,678.6188,817.86206
-419.10352,373.6628,718.075
-371.19708,528.4482,700.41705
-148.36407,670.1949,850.20355
-467.4501,507.89774,967.57434
-106.718735,404.22284,796.14966
-317.28177,746.6999,785.83484
-325.8492,348.13406,635.3303
-317.2213,493.86984,710.9564
-227.16757,485.50784,813.65924
-520.7393,546.71136,873.43384
-179.38461,322.99127,822.03357
-423.23422,750.8096,910.4433
-234.17117,229.69966,577.40137
-362.23386,555.31067,764.23444
-341.06094,450.38507,718.3958
-336.59708,599.03986,746.57245
-223.96387,453.90347,781.4619
-339.6063,819.15643,1047.2107
-106.3156,309.82196,661.011
-151.45917,693.552,999.40674
