# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
231.05885,931.63727,283.95734
231.27031,938.65186,264.62143
219.77744,927.67175,287.45853
226.70927,971.23987,291.2305
222.6458,935.2176,317.40884
215.34334,835.22266,340.39246
204.58882,946.9982,325.1992
200.20602,928.9152,316.34564
216.61533,924.1462,329.00552
234.98183,957.0725,299.5974
228.14406,942.8455,333.54068
223.33382,868.6292,354.82297
211.87791,890.17786,320.60938
205.9675,943.7022,303.10013
212.91599,932.38696,319.28177
223.74077,976.9939,303.78586
211.8503,1005.7902,275.20474
199.84619,995.59424,355.05392
204.02484,987.0154,332.21237
208.99933,948.2171,357.88864
225.2059,950.887,327.97296
271.77188,921.467,219.03362
282.71924,854.9678,243.46175
322.45032,803.4552,276.2782
318.6019,870.07074,300.87622
337.80515,840.7323,370.4444
352.2798,761.6744,356.2838
332.17914,878.1039,373.69226
289.89148,872.2167,434.34976
274.72113,816.2384,406.15698
263.91022,866.5546,413.71432
257.07928,859.2534,444.1907
256.05792,882.2161,429.80945
273.7473,872.4646,424.9269
261.96045,851.92755,408.30112
277.98596,898.54224,401.94583
262.99445,858.1048,400.064
271.5469,849.6909,410.29166
272.06613,887.63873,407.09586
272.64487,866.1764,412.50217
265.68497,853.53296,437.51202
277.40775,885.9998,415.80862
283.2836,879.3195,420.7572
265.59848,798.7161,453.32703
278.12033,891.7032,423.7413
276.1153,886.86224,440.5598
273.77185,823.24084,463.34454
259.4845,777.97156,447.64896
242.83568,888.4173,445.7979
285.9991,845.5144,483.9102
294.9762,921.7195,451.07797
351.2165,895.4899,458.24484
332.31046,736.5015,427.79224
350.1485,748.0882,448.422
320.8154,767.67035,500.6655
306.4508,861.4845,581.48474
340.664,827.337,404.0969
271.1633,868.16797,485.98523
243.3432,773.75726,559.1245
213.28183,820.7837,613.37823
273.2859,776.2436,575.3164
243.62166,755.1094,626.433
217.84138,747.6715,530.222
181.06529,684.64734,656.7106
146.79312,646.65643,644.1538
114.50616,692.24817,546.1956
153.24643,819.44006,618.1108
143.31293,776.21,560.81915
179.14925,855.5787,570.08215
163.21007,740.75037,581.07263
204.5255,877.19336,564.17645
205.69017,819.52905,551.38617
197.98079,751.5901,549.2735
180.10709,817.3493,541.733
245.21786,891.5414,558.31744
224.58179,788.0965,500.65512
220.84691,865.85516,523.78955
261.68637,832.1901,435.60928
259.01,927.4715,350.0691
219.66226,851.73694,448.27472
232.39178,898.72833,505.33795
225.91884,773.8278,511.92807
189.22743,801.0247,497.8715
186.49147,852.2778,551.2514
194.42967,759.56165,493.51614
196.0402,868.0533,505.487
205.32831,801.971,555.6195
194.40779,836.48627,567.919
217.66908,752.4102,593.9015
224.76503,858.5471,571.4394
222.03374,793.4486,557.0419
214.98338,832.4154,533.983
213.77899,789.2227,559.38794
196.35109,780.4535,561.9361
209.09308,847.05743,552.5992
203.62943,800.4956,526.5573
225.3818,751.2539,568.98694
230.42682,775.2075,599.27423
234.10448,708.6385,593.2958
204.27177,727.5976,531.52313
225.03773,765.2363,674.3941
206.91336,815.1861,643.74817
226.79343,792.43097,717.327
246.77612,911.3148,609.3252
219.92616,704.42725,673.15265
301.88486,845.606,724.2659
340.05637,717.5298,563.8574
355.65765,718.79095,539.10956
310.4942,634.44354,598.074
208.74284,495.28906,732.7258
115.06858,763.72156,728.0265
174.95761,634.6061,738.7456
98.062416,561.9529,675.2678
83.60082,722.77637,715.32697
27.429396,582.02966,712.8877
2.7516663,588.52997,823.1134
21.074665,644.92114,774.79236
0.9407299,607.41943,728.8643
15.584757,749.0038,680.118
-15.086886,730.98737,642.5167
-68.89388,801.3363,587.59576
-92.88189,939.44305,479.99908
-117.17223,885.1192,487.03082
-172.69041,772.06244,442.73297
-212.09145,753.1662,452.36533
-178.91455,795.8476,533.9359
-148.27292,750.9197,497.16202
-171.2449,943.2843,542.17505
-178.07047,821.90125,534.62604
-116.20372,898.08276,508.2358
-196.97865,981.4009,513.55304
-143.77402,878.3439,531.23785
