# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
-655.6938,211.40434,81.24837
-980.50793,421.42722,302.39923
-1873.3861,949.75134,597.2471
-1700.6902,757.7607,336.0583
-1392.1819,396.33844,210.7751
-1295.4933,1261.4044,770.1134
-1203.4756,692.68353,684.53406
-1139.3771,789.6582,576.99286
-1251.9913,819.9564,645.7175
-1432.6001,1005.5042,766.03064
-1621.3901,748.0662,311.3619
-1476.4824,582.83636,461.87692
-1409.6809,762.60394,233.11096
-1070.9084,319.0758,183.40562
-746.469,460.49335,21.79536
-515.2623,291.67905,90.51738
-452.97772,330.22507,89.09491
-253.1154,206.26317,54.98769
-238.35541,261.8948,48.131363
8.938276,154.57353,135.87418
46.949707,129.79527,44.743065
148.05148,305.3223,524.96387
98.791954,2375.522,1539.886
316.8349,396.00195,629.067
543.753,177.23239,838.501
-1047.603,1360.2162,1015.6282
-1936.6356,990.9036,-45.67548
-660.50323,585.1584,-172.5161
-160.43246,-1121.7039,-400.77115
-394.91748,1516.1238,798.08484
117.097916,1723.5563,839.1446
-336.2959,589.55225,279.57938
-1032.7881,1861.0142,417.21054
-255.65512,193.04356,-128.40413
-455.09976,-264.05386,165.7012
-620.8277,479.83417,197.69626
-610.3655,190.29485,249.5678
-664.2475,459.9903,250.75826
-1279.7218,318.341,240.2418
-2439.7632,1413.4347,616.6959
-2147.5483,600.04895,600.34973
-1613.2125,758.2376,754.8074
-1313.447,921.2791,574.50574
-1612.7863,630.1068,316.0051
-1378.5265,698.30646,105.34127
-1079.3202,691.0037,122.836266
-835.7633,911.7266,120.68798
-603.00134,278.44217,-175.58807
-435.11163,89.91688,-57.84314
-216.89806,-21.555803,-138.93872
90.80758,-130.40417,-127.22883
241.71208,-93.51316,80.81091
294.762,-476.48447,-341.55878
63.678783,1309.6821,715.0494
-287.58212,2348.8037,1065.3271
-304.38824,197.37413,240.79619
-700.6516,1163.1179,807.881
-1128.6179,754.08594,497.89337
-1133.504,704.0567,464.62976
-925.6075,660.80707,399.39078
-596.03406,871.39276,506.9494
-206.80847,616.4563,355.50104
-126.20757,693.0339,296.08643
-217.26161,497.2238,401.8412
-393.94394,1114.9556,481.96432
-61.34585,592.2874,156.033
-133.03778,598.82434,478.7964
