# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
-285.32425,-36.138763,321.3745
-740.07355,243.51743,118.112526
-949.6178,-7.388015,407.07742
-1655.6267,-85.35604,270.04678
-1636.4886,-91.136086,335.56436
-1700.7875,251.83234,584.76025
-1388.8478,430.51913,609.61646
-937.8151,479.37753,314.84406
-190.33809,553.2356,184.58185
591.6552,985.5804,251.69348
775.28107,942.7225,300.02063
275.32153,884.8558,116.78394
-290.57074,1148.3799,300.1919
-1063.5283,1457.2825,425.42786
-2407.5034,2403.645,836.4132
-3678.476,2888.7822,1008.424
-3114.498,1980.8773,671.31976
-1950.7125,669.92523,198.0532
-1138.277,146.65396,130.09995
-801.88043,-294.55856,-230.94992
-469.62064,-1443.713,-558.54846
-623.7723,-1110.7562,-424.74094
-897.6213,-1059.5157,-321.68396
-1468.8246,-566.9408,-157.93875
-1838.9728,65.178055,-40.211998
-3202.1873,1162.4436,733.0692
-3719.353,2849.7197,1391.2198
-1933.8588,1863.3738,553.5058
-665.7082,1650.8434,460.8265
259.2168,1341.9187,104.79474
809.32495,1084.0784,64.9702
1056.7485,1022.1739,62.27277
728.45575,865.3224,49.126144
189.38945,1224.4929,-19.599636
-611.4899,1695.1182,296.10944
-2353.2642,2787.332,623.33466
-4231.409,2982.664,900.6829
-3411.6748,1705.3451,531.29724
-2000.517,517.7606,197.00456
-1302.3168,44.18751,-45.939518
-537.01483,-1719.7596,-638.76355
-332.63147,-1673.9,-694.125
-715.8811,-1203.3389,-362.10355
-1196.6443,-872.0763,-379.8313
-1717.0546,-210.37885,-273.32004
-2463.1443,283.79495,124.96881
-3754.9805,1945.9924,852.226
-2628.2878,2439.873,475.76886
-1414.2008,1475.1632,547.83624
-533.16943,1194.1185,346.26508
183.78522,972.49347,310.424
869.60364,1038.2856,380.61737
1054.3878,837.87036,215.03183
525.05414,1027.3239,43.975388
8.323901,1485.5385,132.97847
-1364.4314,2658.6016,367.90274
-2809.4514,2898.745,565.91437
-2952.0605,2251.1382,392.0938
-2414.9106,1462.0181,3.4504085
-1915.6982,285.24738,-183.52406
-1455.6896,-340.0576,-334.007
-900.8825,-1608.4385,-691.93866
-692.63214,-1781.6543,-717.4477
-900.90643,-1260.101,-445.4153
-1125.416,-626.4642,-205.3958
-1753.6857,76.82812,-79.35056
-2691.2737,683.9791,490.50504
-3474.4705,1475.4633,1359.994
-2625.01,1244.7125,945.9074
-1423.7145,1128.1133,690.17126
-377.80258,1462.4124,635.2559
258.28925,1668.4069,416.78818
618.4082,1492.089,248.61505
425.71762,1265.7947,188.42802
76.70153,1275.0073,51.65121
-792.69147,1427.5,30.06012
-1926.4265,2018.1708,87.72742
-4400.623,2801.8271,129.30696
-4354.64,2194.398,-350.99164
-2558.5503,927.8875,-411.4835
-1933.8534,274.5237,-443.63022
-1231.6993,-970.42084,-538.77545
-694.734,-1752.7365,-619.27875
-611.6048,-1625.8516,-367.7669
-769.38354,-1065.3867,-146.21887
-839.29596,-548.9825,22.01564
-1391.6968,433.5603,243.66788
-2533.161,1773.6533,863.82367
-2990.382,3190.455,1198.8396
-1556.828,2254.2817,720.5776
-509.06012,1304.4513,555.71967
88.12494,896.0087,177.99832
466.15536,559.4575,191.83412
899.9538,367.28055,148.30313
747.8366,319.46072,215.1895
620.6257,395.1511,-8.948883
92.9306,1132.1956,95.34649
-827.9639,3020.4714,177.08945
-2562.5393,3523.064,212.97374
-2506.1667,2561.0264,129.93996
-1446.8043,1131.1184,-52.093304
-975.60956,493.17163,-0.46375
-630.52344,-275.6042,-153.89217
-472.07333,-867.9413,-176.99757
-395.38834,-992.38135,-153.41476
-537.00867,-709.22296,-136.45341
-784.7971,-396.76205,-13.697357
-1325.9657,651.0611,165.85957
-2113.7239,2448.4307,729.72046
-1830.921,3062.5447,822.41345
-758.52985,1762.9578,616.22186
-353.3307,1099.9755,448.23743
147.85536,490.65536,209.23775
597.0424,376.05386,98.93793
1002.7875,112.44767,101.70512
899.8947,234.28386,72.73165
691.65674,168.66748,-25.10081
164.41891,1273.2737,63.988895
-748.62585,3523.1023,262.94763
-2114.947,3760.8206,378.12833
-2152.9343,2572.5635,354.23358
-1508.9711,1253.185,70.38713
-1091.3757,313.06476,54.880272
-698.58594,-505.41174,-137.47131
-459.96768,-1242.489,-161.4791
-554.2367,-916.7433,-145.20628
-756.3005,-793.28955,-99.675705
-1118.9075,-123.98473,-82.182884
-1927.5211,697.7977,76.49789
-2797.2463,2915.468,309.1959
-1876.1077,3088.1216,169.19655
-650.59064,1657.7496,187.24396
-144.61089,1167.7067,86.94286
263.80212,742.51166,6.8976736
554.7155,535.37024,39.338524
954.34106,274.6341,29.126577
840.0769,271.08292,46.381207
616.1218,366.20798,27.53597
119.32648,1183.6581,-147.91666
-809.6708,3213.9685,-86.2823
-2241.5005,3810.9043,53.727715
-2581.975,2769.8616,220.32196
-1769.199,1363.0612,0.87848526
-1102.6354,326.28757,19.443953
-673.866,-439.98892,-116.18667
-420.45413,-1229.1774,-229.35739
-379.54532,-1103.9661,-153.41223
-576.99744,-656.1889,-61.173347
-981.82294,-242.90361,-112.56392
-1916.8367,952.6466,28.586782
-2848.8662,2870.5168,776.3726
-1748.6198,2744.1516,660.2754
-554.7328,1699.484,406.47232
-139.15688,1149.0515,360.16983
271.8565,667.25903,243.65483
636.50806,410.6837,259.53278
936.6719,109.48379,241.28932
775.99176,234.46939,211.08672
701.6163,107.451126,46.523384
309.195,1233.213,102.6242
-1133.203,3829.016,216.44395
-2276.9407,3891.3105,361.73117
-1898.0662,2289.6836,240.78702
-1337.0881,1060.7146,-23.478308
-859.14545,169.67413,-33.398327
-664.12714,-609.8369,-234.6947
-456.11163,-1190.9408,-335.6373
-643.2513,-1074.1627,-274.11148
-792.8438,-742.14575,-154.44563
-1242.7,51.203514,156.25218
-1805.2957,765.011,307.9738
-2702.0366,2945.392,1051.6046
-1969.4384,2903.229,709.0255
-845.75653,1576.5963,445.4121
-126.86486,1168.2351,223.73558
362.5998,692.62067,47.380386
1056.751,477.9711,74.461044
1178.1088,243.80283,46.83744
865.4482,420.24106,-16.905025
291.21616,906.11914,-94.835884
-457.3636,2523.4932,38.10743
-2174.397,3643.5212,276.87448
-2764.296,2708.45,363.01776
-1684.6671,1382.5907,74.542
-1197.1147,619.2321,-50.005917
-705.8559,-567.86,-111.46237
-400.3795,-1299.0658,-189.1975
-311.6526,-1041.2742,-122.299675
-566.9846,-864.1978,-6.441781
-867.99176,-251.5336,-76.93223
-1707.2368,558.08777,134.10239
-2582.8237,2564.9875,622.50415
-1993.3398,3106.189,624.55554
-814.92523,1669.6924,494.05734
