# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
-816.94946,287.5206,614.17737
-615.4228,77.76936,1118.8208
-103.47812,171.39209,809.38043
-275.7433,202.00653,366.25003
-1412.0294,118.60018,499.2456
-521.49744,8.157658,1306.1963
-684.09155,253.02081,1043.8048
-385.00104,26.564903,768.9364
-445.48654,389.12143,482.2661
-901.9833,54.44302,552.0075
-460.65683,252.31157,731.9589
-312.1113,157.7373,1228.0726
-683.47797,-36.173378,575.52655
-745.0033,99.44314,811.67017
-954.9645,266.6996,840.15234
-798.9343,156.77852,998.99414
-449.61636,349.65826,694.93524
-698.4771,272.27945,632.3217
-469.05096,333.4189,751.57495
-654.47473,295.42307,810.5097
-583.2857,249.95872,856.2484
-630.95544,233.67116,930.6117
-575.533,342.68515,792.58276
-749.31647,207.00725,753.9979
-589.8762,281.77597,831.56213
-596.54877,237.8822,853.3188
-436.1119,492.54446,900.8272
-822.76117,269.2783,672.5183
-615.9354,232.29518,864.595
-500.1102,252.20059,1027.8159
-640.2503,204.69733,439.49252
-651.6328,215.59665,379.80783
-639.11053,223.28897,613.25665
-614.85583,203.51175,871.85767
-486.25143,277.2794,673.7426
-707.0945,297.09354,722.4583
-527.5466,241.35408,649.8761
-727.7924,255.29872,691.1185
-431.43948,266.64203,597.89886
-666.37634,325.32736,735.1348
-499.9428,346.32562,768.89526
-837.95496,324.44147,839.4792
-357.90894,422.62415,951.2209
-622.608,457.36633,843.9217
-571.0701,285.60468,629.94995
-493.4987,457.34393,771.66986
-607.4104,328.7059,648.3123
-669.8076,350.06406,729.288
-499.01993,301.12225,768.6075
-557.732,316.54703,725.35535
-623.79517,186.93848,707.3695
-638.56647,249.32329,761.9313
-649.80615,244.56883,705.75
-480.18503,217.14677,783.9038
-557.70715,280.32492,745.14874
-864.05725,244.25009,775.9212
-463.9271,207.61098,730.95654
-529.1943,320.49533,861.57587
-864.99146,167.38217,568.3589
-705.1776,252.63031,724.86615
-574.3399,173.48314,709.0144
-777.36926,179.68956,704.18005
-727.95154,249.54692,695.028
-620.6188,373.09622,807.6257
-768.78906,247.23186,695.7968
-654.20294,282.68497,777.3805
-701.85333,257.66342,653.8472
-750.5612,269.02332,654.3543
-714.4031,346.627,684.8014
-680.05066,360.34988,786.7072
-840.2837,232.0788,614.2502
-543.4125,331.1322,702.12494
-833.46216,255.70107,617.35547
-812.822,257.54636,591.5662
-798.3236,253.79533,620.2865
-719.8831,248.30038,667.5856
-855.6302,228.86407,598.5453
-787.0454,244.69969,588.232
-823.8799,266.1078,646.0133
-781.16223,225.93535,636.28217
