# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
87.28563,641.56915,753.0719
93.50406,652.00195,765.97327
88.06842,639.8508,746.9478
92.51198,639.0013,758.8241
92.00372,640.6306,760.30164
92.86758,652.9612,755.74695
92.85718,638.9542,742.5873
99.87335,644.57477,762.5917
93.22438,642.6682,748.531
96.468056,642.21704,756.9766
93.020615,637.67126,747.8161
92.60073,642.3824,752.69366
95.29696,638.79767,754.50653
94.02281,639.26514,766.219
102.19953,645.09033,753.3261
94.4638,638.86633,756.4276
89.784546,644.3157,746.8191
100.31418,642.78876,760.39813
100.03254,645.9559,756.01404
99.50568,641.26807,766.4156
95.00293,635.9365,758.3904
89.33607,629.07794,763.487
92.05877,636.10223,758.6024
94.76971,647.44006,748.7264
95.275696,640.8831,749.4035
103.49085,643.458,775.27844
94.12685,636.2034,762.22644
96.71083,638.0393,760.23663
92.62541,637.7822,758.4339
98.35354,645.45935,759.0502
105.40974,634.3949,755.53845
98.36366,637.2425,765.983
106.67815,647.47125,754.58044
96.64327,639.0061,755.28864
97.31468,636.92377,754.65454
94.24032,641.2164,754.239
99.46544,633.71515,743.46136
101.22607,642.835,767.4528
101.919174,644.99,753.91833
91.34987,637.3178,748.6824
97.715744,637.0101,751.5504
96.034645,637.5692,756.9636
93.878685,633.8571,747.04584
96.774284,637.21747,755.9173
99.25813,639.0603,753.81213
94.30492,635.72375,746.9596
102.95823,643.3429,753.12964
93.112366,641.88184,754.03674
97.043915,640.99054,765.39417
98.6533,634.51227,762.528
96.77135,638.3993,760.032
97.59408,635.6977,753.6478
97.56294,636.52527,756.81775
92.06245,635.8808,760.3343
98.77901,641.808,753.2096
98.266205,633.20593,747.85046
94.421936,645.6976,758.1898
90.55293,643.299,759.13745
88.89875,632.82355,761.1234
97.53724,631.72864,756.0407
94.12658,638.42944,745.66754
102.811516,631.9177,753.0199
95.4757,639.9953,754.9633
106.01717,640.3261,760.04877
96.30051,634.86945,753.89166
102.20701,642.97876,752.5625
100.1213,647.0458,745.0771
96.27569,636.09656,751.98645
103.29301,633.9883,751.69696
