# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
-760.44604,246.73723,288.13242
-658.66925,428.14667,234.84914
-604.6157,582.2488,179.31433
-530.7576,715.34296,165.28752
-495.10373,677.88367,238.53767
-598.7599,615.39014,323.83224
-966.6675,680.1543,453.65234
-1185.6735,688.7735,467.83176
-1427.3667,558.2982,488.0613
-1560.4858,519.345,572.80554
-1598.9573,443.794,630.8565
-1575.4049,385.97025,541.6092
-1582.7832,379.75583,471.3053
-1605.9683,441.96793,317.52692
-1235.5267,-21.29847,188.06038
-861.24255,-123.00163,224.59367
-697.2271,354.80856,92.51506
-601.543,351.145,38.69854
-555.75507,276.35532,-11.545462
-513.14777,160.74991,-14.432269
-453.2084,160.00017,-5.037985
-476.10788,204.49184,-3.6015134
-527.2271,351.65768,39.787636
-622.8018,488.74908,189.90974
-902.8185,629.75604,347.22055
-1166.7418,563.08673,498.72556
-1522.8027,504.47928,697.48895
-1871.7715,438.62595,842.733
-1586.3458,174.00827,652.91565
-1128.5497,31.01061,498.12903
-850.09814,139.66447,371.1811
-712.99927,329.7046,315.73312
-614.1909,482.49463,252.94081
-518.8388,627.89014,212.08391
-486.6901,710.858,247.70233
-531.60266,600.0036,307.92505
-768.08795,604.54315,440.53986
-1068.4188,588.4062,534.17163
-1227.868,500.54736,532.33234
-1408.2842,417.23108,558.86865
-1496.0105,456.16403,607.90015
-1466.6155,483.63193,585.4933
-1399.3683,490.08774,456.62558
-1466.9465,459.2312,396.99146
-1474.8915,351.60538,373.82074
-1148.6576,275.4664,295.34207
-853.7776,226.26088,175.8903
-665.457,200.68784,95.25386
-579.9096,203.52373,67.705025
-517.5929,212.28123,47.69207
-492.69446,210.55382,38.807976
-460.96188,214.99698,29.235035
-500.0732,238.6409,9.142891
-516.48975,320.87485,52.94365
-663.79803,417.3083,178.4341
-952.02637,488.65704,320.526
-1303.6495,517.7003,479.10022
-1701.6058,562.6771,758.3329
-1875.88,450.2318,854.78784
-1496.1707,177.36685,704.0101
-1111.3884,28.252344,533.7905
-869.07446,151.17769,340.60278
-635.6633,245.77623,233.88434
-549.59125,556.17676,192.9093
-429.18335,721.4607,181.74303
-337.0389,694.9952,191.23247
-400.5113,597.61395,293.5055
-707.83075,601.99506,406.40268
-1225.5242,657.70636,503.23492
-1420.102,587.3972,496.70773
-1492.6663,359.9351,503.64334
-1631.8887,370.56274,628.8757
-1450.1309,360.76462,634.9587
-1348.0505,500.4099,491.548
-1397.9797,531.2682,390.03638
-1358.3021,384.72897,294.80487
-1085.1835,189.46626,223.52611
-811.7623,101.416115,152.03717
-683.654,178.80447,90.34695
-586.7873,203.88445,42.96562
-551.4164,218.11914,9.232694
-474.0547,208.31816,-1.282622
-440.00912,191.51617,1.2699308
-449.37732,212.30328,-10.311975
-517.70123,306.27878,63.660328
-746.0706,459.2735,220.41853
-1184.513,544.7647,381.26074
-1505.1348,571.7921,537.6843
-1877.5167,640.5435,835.4478
-1823.3254,459.0859,792.4192
-1302.634,-73.29618,479.5796
-1052.8423,18.683496,350.8638
-772.9926,173.35059,219.62811
-685.0588,419.76337,158.77802
-577.79254,722.5526,105.093025
-462.52023,769.7379,117.551796
-401.4972,618.54266,164.93901
-457.34357,499.562,225.54036
-846.06805,586.1877,384.3793
-1179.505,704.1563,488.7984
-1214.5442,643.62744,489.80826
-1426.7812,476.11105,492.90265
-1527.8824,425.06528,567.57324
-1447.7914,414.42896,546.01215
-1385.8219,507.99716,460.25073
-1504.0256,476.1153,405.5931
-1429.009,322.43558,295.6554
-1105.9205,265.39017,212.70811
-844.3458,214.80142,166.51755
