# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
343.6625,-183.23978,-46.78157
1522.6588,1299.8855,-792.55914
-2773.3018,8810.042,-3091.9424
-1704.4414,2762.0298,-1011.90924
125.25638,473.4782,-466.26508
-1689.5236,121.70031,-281.08875
-875.4661,-431.7879,28.613823
-1831.6962,-832.67816,-555.80237
-1048.8544,-1326.9524,-224.24115
-1985.4628,-420.62656,-416.13306
-1302.0482,-599.753,-383.3422
-3638.8604,3406.284,-1346.921
-2965.33,7406.9336,-970.4007
204.20572,2255.7642,-66.52076
721.5171,1051.9403,-435.68176
1344.1084,-3.779135,-143.32253
1177.076,-5.5179763,84.930695
1617.081,88.12729,12.101923
1229.3546,-251.32138,325.17053
703.5657,310.62216,9.323428
953.462,-472.8147,245.18298
368.30768,5820.0596,-2273.9368
-4010.323,7871.5596,-2697.3254
-98.99523,153.4948,-179.3205
-1464.8606,1307.249,-728.50476
-1224.809,-1282.3192,-7.5431657
-1418.6407,-297.92722,-623.39465
-1182.0823,-2433.9448,-563.7774
-1808.467,-544.5988,-353.3821
-1808.7013,-1833.7507,-447.36914
-4349.012,3315.2183,-1168.4917
-4490.2783,7850.5547,-1104.5496
-457.94037,3090.0806,-931.2243
1547.0677,1298.9824,-782.9542
1796.6292,712.1009,-289.1291
1635.5651,-154.7009,313.43005
1166.1627,482.9198,116.46934
1146.2673,-269.75906,510.96564
501.30627,662.2216,-103.46505
1332.4825,-457.46826,325.26544
-546.85846,6462.603,-2522.0828
-4092.4895,6913.7456,-2650.195
54.30602,412.73553,-542.9618
-1134.6152,654.74286,-936.5873
-1056.0316,-770.4946,-144.17003
-1272.783,-520.05835,-457.20084
-1298.6763,-1082.9563,-556.3722
-1509.0094,-882.1931,-649.814
-1580.8959,-305.54837,-279.6587
-1944.1888,256.95267,-602.3508
-3690.041,6476.0337,-992.60785
-1386.0099,5837.9043,-115.635056
840.7329,1231.439,-242.00438
1035.2515,679.18567,-54.6977
1267.801,-307.79428,155.12364
1467.9843,-151.77266,159.92252
1273.0106,-280.46786,305.7097
1034.6299,-86.68275,209.3808
534.2359,-189.80048,196.16614
2016.3257,1619.4873,-525.04065
-2848.1216,9671.964,-3784.152
-1693.9105,2691.594,-656.0402
125.402794,449.61667,-677.20306
-2283.9897,-150.28555,-49.38558
-914.5908,-1511.5267,-341.19962
-1510.7657,-1801.1394,-588.67883
-1262.3492,-974.3887,-82.36682
-1912.5529,-508.2714,-216.14929
-2674.563,1796.1014,-1345.3096
-4093.7942,8176.8003,-663.39954
13.545497,3453.3618,-621.5439
1644.7178,919.7647,-913.231
1168.124,243.91481,-28.844206
890.0261,-289.95868,291.39926
1542.8359,241.5192,250.68445
1286.2074,-438.50726,442.21973
733.3115,240.48325,-58.10374
1127.9979,-579.97186,344.4788
188.53978,6406.2476,-1949.0284
-3424.7815,7040.1484,-2226.8784
675.81024,-100.93995,-202.8221
-1216.5228,1171.7806,-792.2999
-1138.6777,-1161.0925,-106.69773
-1747.8577,-580.2129,-1028.958
-1358.7424,-2178.7969,-561.1623
-1902.1393,-271.62338,-289.36148
-1750.1721,-1056.7692,-520.94867
-4463.2183,6001.8413,-951.45764
-2187.9695,6768.8203,-1206.4993
868.17395,1721.4618,-55.861683
1553.0925,509.691,76.4766
1352.2528,-54.83418,153.8322
1563.2207,-78.32242,390.5576
915.4684,68.05412,431.87164
1232.6151,-272.23764,294.98828
528.5058,13.601007,95.23159
1927.6608,340.4966,-470.8542
-1754.0298,9576.768,-3986.6472
-2821.6758,4180.479,-1963.2479
283.31592,-216.6587,-669.74884
-2168.0647,365.45068,-445.1066
-1050.3615,-765.692,-12.414842
-1676.8258,-1364.0771,-382.36755
-1436.3721,-1751.4738,-630.9521
-2434.0542,-796.62756,-243.11185
-3116.4097,693.5594,-1320.1936
-4093.1045,8508.777,-1892.7909
-115.31398,4818.0864,-718.00806
953.0718,1214.5204,-389.9794
1324.68,324.18454,-81.47349
727.73804,9.428511,33.485847
1502.2251,-85.422646,-81.93012
1283.0581,-186.51308,194.63176
1398.9916,-38.30798,46.647408
543.35205,-12.612847,141.51608
1663.192,2451.3918,-1007.95337
-2883.621,9573.801,-3092.9143
-1376.6061,1765.4482,-708.6095
-337.22595,868.10394,-907.15765
-1674.4928,-442.227,-388.62857
-1513.3488,-885.20746,-569.49475
-1598.2609,-1906.6868,-672.7865
-1782.09,-936.54065,-492.2314
-2046.9943,-949.18256,-337.27777
-3146.926,1722.4553,-1570.2844
-4080.0566,8276.052,-1563.2316
55.20996,4179.714,-852.01117
901.81757,634.1217,-220.81839
1183.7052,345.3904,-110.678535
1262.1183,-267.1688,231.07994
1359.5029,360.7942,223.29958
1337.6191,-490.55585,542.2586
652.1184,566.87506,-51.930923
1254.2687,-830.9249,360.61688
-600.57385,5315.6616,-2458.8274
-5329.72,7441.9487,-3177.5596
660.7725,81.861565,-371.77563
-1541.0215,1099.7787,-640.3521
-1010.48126,-883.8521,402.03632
-1327.1942,-373.61774,-749.55133
-1321.1029,-2311.0005,-484.73602
-1689.4231,-1153.5719,-401.04352
-1725.2362,-1027.7294,-244.5066
-2886.1172,2826.9597,-1004.2848
-2494.3394,7495.7876,-920.6619
121.019394,3233.4883,8.146964
800.79114,890.4725,-108.46604
1034.6649,562.66974,-183.31285
1091.017,-390.25424,235.94308
1177.3716,-42.851063,168.07362
1230.4426,-261.62573,508.89743
655.2556,307.3417,37.145767
1156.7205,-347.8267,345.66196
326.7732,6255.1533,-2720.6284
-3296.1248,7125.0127,-2691.5894
-261.6816,48.926525,-566.69727
-1252.5125,1003.17334,-985.808
-1450.7434,-1265.0343,-59.632782
-1762.7454,-719.1935,-647.1879
-1457.5435,-2091.8198,-438.19925
-1950.3497,-568.97205,-212.46617
-2106.56,-979.87946,-184.37674
-3998.4604,2370.8235,-1653.9783
-5451.314,7314.7217,-1298.8611
-714.23126,3577.1287,-673.43274
1582.7521,847.4773,-949.2656
1089.2705,598.46063,-182.04659
1468.8043,-190.41461,137.81898
1661.7357,374.01465,88.6195
1581.7416,-290.7115,221.77058
700.3003,527.3809,-119.08163
1512.1516,-250.36212,-126.05545
-1200.5612,7866.057,-3019.6348
-4517.2935,6714.0156,-2404.2563
-336.11798,289.6095,-490.63416
-2436.551,876.4706,-712.78766
-1152.1942,-1272.7119,-80.10041
-2145.3513,-1217.1914,-846.80237
-1472.1107,-2360.3943,-320.48236
-2310.7043,-604.4355,-249.9102
-2211.217,-274.19424,-532.71954
-3758.0632,4754.895,-2050.0737
-2818.3591,6824.8516,-896.7231
28.046244,2730.9507,-545.56934
1085.8602,584.2375,-436.807
885.94977,336.17813,-47.51239
1515.8923,-96.80983,-18.196434
1431.4454,257.22864,-9.902451
1740.4722,-386.9242,206.46098
298.63144,304.64618,85.97639
1939.1472,81.35055,-58.52631
-1992.9375,8830.988,-3007.4658
-3391.5269,5126.941,-1745.556
195.97247,-69.575554,-450.30612
-2175.8838,608.86273,-627.8201
-921.62573,-997.853,-24.452133
-1951.3293,-637.4867,-495.82748
-998.87305,-2131.0928,-219.77628
-1950.431,-167.45584,-278.17822
-1458.1173,-246.6153,-63.837532
-2742.89,5047.685,-1445.4542
-1629.5638,6784.136,-1259.4241
677.08136,1902.3534,-83.73919
627.597,487.7,-526.6044
1089.9315,-33.709427,-160.36394
1113.7161,-604.73224,75.91609
1343.1599,195.91095,341.2829
1633.8124,-354.74863,584.4184
754.63165,555.8616,281.04236
1368.7925,-582.47797,44.91222
-435.7464,7326.2725,-2800.9192
-3706.8152,6553.8994,-2181.2107
283.1622,-80.7167,-303.7858
-1749.7277,928.5935,-674.1707
-940.3161,-1039.9996,122.45756
-1555.8077,-456.5398,-596.3486
-1204.195,-2212.8965,-356.11478
-1907.251,-370.08337,-141.19542
-1928.1896,-1083.9271,-217.37558
-4138.855,4441.2935,-1446.3722
-2645.9907,7698.5693,-655.66235
269.9925,2330.128,100.975975
934.6775,814.78613,-289.65143
1022.1671,220.66429,-62.104458
1372.6805,-467.05368,197.67307
1129.8899,-63.94878,155.48813
1288.4437,-309.3637,290.3553
446.08267,145.03911,-10.708901
1811.302,43.133774,130.63512
-1360.0988,8191.5923,-3137.6863
-3261.3115,5268.805,-1594.5458
545.1626,-171.38411,-248.96967
-1917.249,834.2863,-526.2775
-856.381,-1383.8657,-54.442135
-1742.889,-734.51355,-632.0365
-1158.6534,-2139.1353,-172.9364
-2413.2534,-167.2784,-371.89325
-2187.851,-1340.7218,-615.189
-4840.85,5165.8438,-2269.6716
-3191.656,7207.0493,-1337.2137
201.66602,2100.2388,-577.2228
1948.4623,874.96075,-389.7181
1417.7054,297.33008,525.8396
1785.551,105.56104,564.73413
980.1785,262.83997,584.035
1284.0245,31.448448,191.02744
179.50813,199.2341,103.94419
1468.2782,1094.882,-495.9955
-3528.6968,10021.587,-3618.074
-2983.4531,3299.4468,-1833.2389
-83.84335,37.45233,-576.54517
-1698.525,-10.594628,-473.21017
-1152.4755,-1033.523,-8.838423
-1705.4042,-2000.8954,-718.746
-1926.921,-2731.962,-322.05185
-3206.417,-1085.5167,-593.69727
-4044.1357,1366.2178,-1704.6334
-4839.8433,9151.972,-1846.9788
-379.9773,3782.9902,-734.53595
483.4686,733.8298,-87.45249
1181.1007,247.42062,186.51445
1074.1526,35.486507,264.5671
1281.3694,-208.53001,433.34082
768.58655,-108.10135,229.05463
979.75116,-71.98105,286.0337
287.94962,-146.05211,-86.419914
1457.6504,1590.5406,55.4194
-4315.8154,8511.108,-2311.6704
-2141.702,3794.287,-475.61215
-333.23645,142.60529,-19.662043
-1384.1222,712.419,-435.62314
-1430.6885,-1119.9227,-166.89021
-1688.1244,-1742.4244,-1138.9232
-1332.9214,-2900.2268,-778.6725
-2162.5642,-944.33685,-45.63008
-2392.1577,751.3237,-889.2699
-4765.565,8186.9517,-943.411
-1045.5554,5331.631,181.52487
830.6391,1009.9349,-530.945
865.29364,665.3152,-218.72295
895.40924,-340.1089,-217.4092
1374.1204,-292.21506,-129.79323
1597.651,-111.95811,-74.857506
1395.0457,-180.24683,458.2367
607.12286,116.65222,147.65457
1817.4928,929.97614,-74.583954
-2167.1965,9149.983,-3180.9587
-2424.0095,3844.9797,-921.6807
117.34669,316.498,-776.543
-1771.6176,295.203,-647.89435
-1501.5907,-1134.7858,-419.4438
-1829.2002,-1564.3616,-898.44354
-1494.5255,-1393.6088,-536.93
-2118.984,-774.11835,-83.431366
-2950.1248,2384.267,-931.282
-4113.193,8716.287,-520.3184
612.4404,3110.6262,-225.08133
778.9535,578.1553,-295.82162
1160.1461,135.10811,157.88014
778.712,-408.9356,116.48697
1514.6276,-296.39957,153.62422
1275.3385,-513.6826,458.20724
992.2632,270.00238,185.55978
681.1329,-414.4117,823.5341
1517.0925,4290.793,-1480.7026
-3812.2478,9579.8,-3171.0046
-706.3394,517.2847,-357.71884
-1195.9583,1265.4415,-812.0828
-2071.9897,-983.7237,11.965945
