# PAMAP2 dataset (wrist-mounted sensor)

acc_x[mg],acc_y[mg],acc_z[mg]
-382.84787,462.3881,754.5424
-583.0442,256.1006,738.6014
-539.8029,348.38367,767.5633
-566.00433,337.53622,744.227
-517.20905,314.23676,763.65326
-500.94806,305.04745,800.181
-514.89856,387.67706,796.9347
-516.4026,405.7373,768.966
-395.93433,339.21414,837.9629
-327.08298,427.69888,925.3609
-453.4165,433.30923,851.87225
-537.52405,323.79095,775.2186
-630.5865,192.36449,727.3993
-614.7721,143.75081,739.4607
-523.01654,274.1264,827.0994
-500.3917,320.4807,736.27246
-521.10205,353.7442,766.75995
-517.40704,254.1319,768.6093
-500.06378,345.08414,842.1901
-545.82574,338.05875,731.17737
-515.4014,479.7185,817.2262
-586.2476,383.4965,751.2849
-433.02338,269.7849,728.7143
-564.9352,468.55908,800.65326
-774.94293,166.55632,469.22452
-579.1992,670.3847,551.0336
-645.46423,263.49042,739.57544
-506.95734,631.4894,852.9379
-412.66824,437.17953,1036.7546
-333.25305,-47.239346,723.0063
-520.6901,507.9697,470.0419
-547.85175,544.9333,937.6431
-371.98587,361.6796,773.25256
-402.01013,488.18283,873.0112
-396.4973,514.9687,668.09717
-434.7001,599.4689,762.8339
-322.25858,643.86395,653.92896
-282.80438,612.6279,856.5052
-125.13125,599.6455,843.20996
-26.326841,592.3265,1002.6484
81.31908,445.12323,665.7341
-422.37744,568.7006,652.1134
-1347.3759,571.7027,315.87015
-743.9249,717.84766,345.98883
-637.4525,766.6619,750.5204
-432.51846,530.94025,794.46576
-459.33606,768.3066,656.51215
-656.4879,574.2123,503.41953
-629.54694,590.3154,637.9949
-643.6579,640.2934,591.4786
-693.9599,660.21985,545.1653
-679.29913,575.03424,472.713
-685.3361,807.28766,438.61533
-574.794,682.449,380.29605
-503.03778,621.7567,524.73755
-484.8115,667.5208,471.05487
-514.61066,596.1992,358.47244
-496.62485,645.0424,619.96515
-435.84625,735.7139,612.8796
-464.67865,713.6412,483.22028
-332.91284,577.8585,706.4669
-380.22415,695.52423,787.8814
-649.0027,644.8597,438.3434
-379.98666,401.3683,730.9514
-691.7788,654.322,714.01404
-390.58585,408.5326,519.0264
4.091981,469.04224,1148.3606
-280.22797,435.3314,1005.3378
-219.1268,658.70825,813.89136
-121.97926,577.8561,751.71515
-32.635883,488.64038,1001.07764
170.11534,704.4446,811.9816
113.76091,672.988,1047.7703
-499.78607,522.0395,931.35333
-339.24832,455.34988,757.1954
-1707.0282,715.6699,282.59802
-1096.0559,-1225.3529,-154.32051
-756.65063,305.1531,1069.6548
-319.47574,385.73688,1246.815
182.35439,-11.055687,1103.5833
-468.70212,745.148,1054.3617
-449.09885,347.40466,757.68134
-1090.7349,76.73917,192.54811
-1000.9871,-273.1033,519.9645
-749.0464,-223.48497,678.08496
-582.74005,-36.77968,906.9311
